Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Gender,Race,Residence,Hospital Treated,Admission,Number of Discharges,History of Health
801,516,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Unfair,Somewhat Fair,Very Unfair,Somewhat Fair,Fair,Fair,Very Fair
802,418,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Fair,Unfair,Unfair,Somewhat Unfair,Neutral,Fair,Very Fair,Very Fair
803,879,40-49,Graduate,Male,,>100000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Unfair,Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Fair,Fair
804,2085,30-39,Bachelor,Female,,75000-100000,false,true,false,false,false,,hos,fairness first,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Somewhat Fair
805,1050,50-59,Graduate,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Fair,Neutral,Unfair,Unfair,Very Fair,Neutral,Very Fair
806,312,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Neutral,Unfair,Somewhat Unfair,Unfair,Neutral,Neutral,Neutral,Fair
807,300,30-39,High School,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Unfair,Very Fair,Somewhat Fair,Very Fair
808,1014,18-29,High School,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Very Fair,Very Fair
809,840,70 up,Associate or Diploma,Male,,50000-75000,false,false,false,true,true,,hos,fairness first,Neutral,Unfair,Very Unfair,Unfair,Neutral,Neutral,Neutral,Somewhat Fair
810,507,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,hos,fairness first,Fair,Fair,Somewhat Unfair,Fair,Fair,Fair,Fair,Very Fair
811,1266,40-49,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Very Fair,Very Fair,Very Fair
812,686,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,true,false,,hos,properties first,Neutral,Unfair,Unfair,Neutral,Somewhat Fair,Fair,Somewhat Unfair,Somewhat Fair
813,557,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Fair,Fair,Very Fair
814,1089,50-59,Associate or Diploma,Male,,<25000,false,false,true,false,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Unfair,Unfair,Neutral,Fair,Somewhat Unfair,Fair
815,383,40-49,High School,Female,,>100000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Somewhat Fair,Very Fair
816,1111,50-59,High School,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Very Fair,Very Fair,Very Fair
817,2083,50-59,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair
818,1140,30-39,Associate or Diploma,Male,,25000-50000,false,true,false,false,false,,hos,properties first,Unfair,Unfair,Very Unfair,Very Unfair,Fair,Fair,Fair,Very Unfair
819,2394,50-59,Graduate,Female,,25000-50000,false,true,false,false,false,,hos,fairness first,Neutral,Somewhat Unfair,Unfair,Unfair,Neutral,Neutral,Neutral,Somewhat Fair
820,442,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,hos,properties first,Fair,Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Fair,Somewhat Fair,Very Fair
821,1022,50-59,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Unfair,Fair,Very Fair,Very Fair,Fair,Very Fair
822,1181,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Fair,Somewhat Fair,Fair
823,919,30-39,High School,Female,,<25000,false,false,false,true,false,,hos,fairness first,Unfair,Fair,Very Unfair,Very Unfair,Unfair,Unfair,Unfair,Fair
824,591,40-49,Bachelor,Male,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Very Unfair,Very Unfair,Unfair,Somewhat Unfair,Neutral,Somewhat Fair,Somewhat Fair
825,543,40-49,Graduate,Male,,>100000,false,false,false,true,false,,hos,fairness first,Unfair,Unfair,Unfair,Unfair,Neutral,Fair,Fair,Somewhat Fair
826,314,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Somewhat Fair,Neutral,Fair,Very Fair,Fair,Very Fair
827,575,40-49,Bachelor,Male,,<25000,false,true,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Neutral,Fair,Fair,Very Fair
828,446,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Fair,Fair,Somewhat Fair,Somewhat Unfair,Very Fair,Fair,Neutral,Very Fair
829,833,40-49,Graduate,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Neutral,Somewhat Unfair,Unfair,Neutral,Very Fair,Fair,Very Fair
830,499,60-69,High School,Male,,<25000,false,false,false,true,false,,hos,properties first,Fair,Fair,Unfair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair
831,1470,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair
832,505,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Fair,Very Unfair,Somewhat Fair,Fair,Fair,Very Unfair,Very Fair
833,2362,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Neutral,Very Fair,Very Fair,Very Fair
835,522,40-49,Graduate,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Fair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Fair
836,477,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Fair,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair
837,1087,50-59,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,hos,fairness first,Fair,Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Fair
838,400,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Fair
839,1880,18-29,High School,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Very Fair,Fair,Very Fair
840,803,50-59,Graduate,Male,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Neutral,Unfair,Fair,Somewhat Fair,Fair,Somewhat Unfair,Somewhat Fair
841,3155,30-39,High School,Male,,25000-50000,false,false,false,false,true,,hos,properties first,Neutral,Unfair,Unfair,Neutral,Neutral,Fair,Fair,Very Fair
843,512,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,hos,fairness first,Fair,Fair,Fair,Somewhat Fair,Neutral,Neutral,Neutral,Somewhat Fair
844,869,40-49,Graduate,Female,,<25000,false,true,false,false,false,,hos,properties first,Somewhat Fair,Neutral,Unfair,Neutral,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Very Fair
845,609,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,properties first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Very Fair,Very Fair,Very Fair,Very Fair
846,706,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,fairness first,Very Fair,Somewhat Fair,Neutral,Neutral,Somewhat Fair,Very Fair,Very Fair,Very Fair
847,1214,60-69,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Fair,Unfair,Very Unfair,Very Unfair,Neutral,Very Fair,Fair,Very Fair
848,1827,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,hos,properties first,Very Fair,Very Unfair,Very Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair
849,629,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair,Fair,Fair
850,702,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Neutral,Unfair,Neutral,Somewhat Fair,Fair,Very Fair
851,397,30-39,High School,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Fair,Very Fair,Very Fair,Very Fair,Very Fair
852,729,30-39,High School,Female,,<25000,false,false,false,true,false,,hos,properties first,Fair,Very Unfair,Somewhat Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair
1959,470,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Fair,Neutral,Unfair,Neutral,Somewhat Fair,Neutral,Very Fair
1960,1240,30-39,High School,Female,,50000-75000,false,false,true,false,false,,hos,properties first,Unfair,Very Unfair,Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Somewhat Fair
1961,1456,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Somewhat Unfair,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Neutral,Neutral
1962,1082,40-49,High School,Male,,75000-100000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Unfair,Fair,Unfair,Very Fair
1963,2139,40-49,Graduate,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Fair,Fair,Unfair,Fair,Very Fair,Fair,Fair,Fair
1964,3055,50-59,Graduate,Female,,75000-100000,false,false,false,true,false,,hos,properties first,Very Fair,Fair,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Fair,Fair,Very Fair
1965,2536,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair
1966,1797,30-39,Associate or Diploma,Male,,>100000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Neutral,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Very Fair
1967,943,40-49,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1968,731,18-29,Bachelor,Male,,<25000,false,false,false,true,false,,hos,properties first,Neutral,Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Very Fair,Somewhat Fair,Very Fair
1969,1251,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Very Fair
1970,1798,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1971,654,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1972,535,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Very Unfair,Somewhat Unfair,Fair,Unfair,Neutral,Fair,Somewhat Unfair
1973,1926,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Fair,Unfair,Somewhat Fair
1974,1133,40-49,High School,Female,,25000-50000,false,false,false,false,false,,hos,properties first,Somewhat Unfair,Somewhat Unfair,Unfair,Unfair,Somewhat Unfair,Fair,Somewhat Fair,Fair
1975,579,18-29,High School,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair,Very Fair,Very Fair,Very Fair
1976,797,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Neutral,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Fair
1977,2152,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,hos,properties first,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,,Neutral,Somewhat Unfair
1978,2381,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Fair,Somewhat Fair,Somewhat Unfair,Neutral,Very Fair,Fair,Fair
1979,934,40-49,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Fair,Very Fair,Very Fair,Very Fair
1980,1945,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Unfair,Neutral,Fair,Somewhat Fair,Somewhat Fair
1981,2922,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Fair,Somewhat Fair,Fair
1982,250,18-29,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Somewhat Fair,Fair,Neutral
1983,1363,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,hos,properties first,Somewhat Fair,Very Unfair,Very Unfair,Very Unfair,Neutral,Fair,Fair,Somewhat Fair
1984,2412,30-39,High School,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
1985,1643,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Neutral,Unfair,Unfair,Fair,Neutral,Very Fair,Very Fair
1986,532,18-29,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1987,1453,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Neutral,Very Unfair,Neutral,Somewhat Fair,Somewhat Fair,Neutral,Very Fair
1988,654,18-29,Bachelor,Male,,25000-50000,false,false,true,false,false,,hos,fairness first,Somewhat Unfair,Very Unfair,Very Unfair,Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair
1989,610,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1990,3155,30-39,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Fair,Somewhat Fair,Somewhat Fair,Very Fair,Very Fair,Fair,Very Fair
1991,665,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Very Fair,Very Fair,Fair,Fair,Fair,Very Fair,Fair,Very Fair
1992,1095,18-29,Bachelor,Male,,<25000,false,false,false,false,true,,hos,properties first,Fair,Very Fair,Neutral,Very Fair,Fair,Fair,Very Fair,Somewhat Fair
1993,1294,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Very Fair,Somewhat Fair,Unfair,Fair,Fair,Somewhat Unfair,Very Fair
1994,629,50-59,High School,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1995,366,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Very Unfair,Very Unfair,Very Unfair,Fair,Very Fair,Very Fair,Very Fair
1996,771,18-29,Bachelor,Male,,<25000,false,false,false,true,false,,hos,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1997,1109,30-39,Less than high School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Unfair,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Neutral,Fair,Fair
1998,1979,18-29,Bachelor,Female,,<25000,false,false,true,false,false,,hos,properties first,Somewhat Unfair,Very Unfair,Very Unfair,Neutral,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Neutral
1999,1036,30-39,High School,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Unfair,Unfair,Somewhat Fair,Very Fair,Very Fair,Somewhat Fair,Very Fair
2000,1573,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Fair,Fair,Fair,Very Fair
2001,412,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Neutral,Unfair,Unfair,Somewhat Fair,Fair,Fair,Very Fair
2002,945,40-49,High School,Female,,>100000,false,false,false,true,false,,hos,fairness first,Fair,,Very Unfair,Unfair,Fair,Very Fair,Fair,Very Fair
2003,396,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Very Unfair,Very Unfair,Very Unfair,Unfair,Very Unfair,Somewhat Fair,Neutral,Fair
2004,1678,18-29,High School,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Neutral,Very Unfair,Very Unfair,Very Unfair,Neutral,Neutral,Fair,Fair
2005,1217,18-29,Graduate,Male,,<25000,false,true,false,false,false,,hos,fairness first,Very Fair,Somewhat Fair,Somewhat Fair,Very Fair,Unfair,Neutral,Very Fair,Very Fair
2006,909,30-39,Graduate,Male,,25000-50000,false,false,true,false,false,,hos,properties first,Neutral,Somewhat Fair,Neutral,Fair,Fair,Fair,Very Fair,Somewhat Fair
2007,1059,30-39,Graduate,Male,,<25000,false,true,false,false,false,,hos,fairness first,Fair,Fair,Neutral,Fair,Very Fair,Fair,Somewhat Fair,Very Fair
2008,1586,30-39,Bachelor,Female,,25000-50000,false,false,false,false,false,hebrew american,hos,properties first,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Very Fair,Very Fair
2009,2221,50-59,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Neutral,Very Unfair,Somewhat Fair,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair
2010,1391,18-29,Bachelor,Male,,25000-50000,false,false,true,false,false,,hos,fairness first,Fair,Somewhat Unfair,Fair,Fair,Fair,Somewhat Fair,Fair,Very Fair
2011,955,18-29,High School,Male,,25000-50000,false,false,true,false,false,,hos,properties first,Very Unfair,Very Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Very Fair
2012,1864,18-29,Graduate,Male,,75000-100000,false,true,false,false,false,,hos,fairness first,Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Fair,Fair
2013,380,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,properties first,Neutral,Very Unfair,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral
2014,939,30-39,Bachelor,Male,,50000-75000,false,false,false,false,true,,hos,properties first,Very Fair,Neutral,Very Unfair,Very Unfair,Neutral,Very Fair,Neutral,Very Fair
2015,1876,30-39,Bachelor,Female,,25000-50000,false,false,false,false,true,,hos,fairness first,Fair,Very Fair,Fair,Fair,Somewhat Fair,Very Fair,Fair,Fair
2016,999,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Very Fair,Somewhat Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Fair,Neutral,Very Fair
2017,2029,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Unfair,Unfair,Unfair,Somewhat Unfair,Neutral,Fair,Fair,Somewhat Fair
2018,423,40-49,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Somewhat Unfair,Very Unfair
2019,1925,30-39,Bachelor,Male,,25000-50000,false,false,false,false,false,NATIVE AMERICAN,hos,properties first,Very Fair,Fair,Very Fair,Somewhat Fair,Very Unfair,Somewhat Unfair,Fair,Very Unfair
2020,1361,18-29,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Fair,Neutral,Very Unfair,Unfair,Fair,Fair,Fair,Fair
2021,1446,18-29,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Unfair,Neutral,Unfair,Somewhat Fair,Fair,Neutral,Very Fair
2022,381,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Fair,Fair,Fair,Fair,Very Fair,Very Fair,Very Fair
2023,643,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Fair,Very Fair,Very Fair,Very Fair
2024,811,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Somewhat Fair,Neutral,Unfair,Unfair,Somewhat Unfair,Fair,Fair
