Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Gender,Marital and Family,Employment,Credit,Education,Residence,History of Health
932,448,40-49,High School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Very Unfair,Unfair,Very Unfair,Unfair,Very Unfair,Fair,Somewhat Fair
933,460,30-39,Graduate,Male,,>100000,false,false,false,true,false,,ins,properties first,Fair,Unfair,Neutral,Unfair,Unfair,Unfair,Somewhat Unfair,Somewhat Fair
934,883,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Fair,Very Fair,Somewhat Unfair,Somewhat Unfair,Very Unfair
935,654,70 up,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Unfair,Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Fair
936,1007,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,true,,ins,properties first,Somewhat Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair
937,330,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,ins,fairness first,Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Neutral
938,423,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Very Fair
939,2754,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Unfair,Neutral,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Fair
940,1760,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,ins,properties first,Very Unfair,Very Unfair,Somewhat Unfair,Fair,Very Unfair,Very Unfair,Very Unfair,Very Fair
941,671,40-49,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Unfair,Very Unfair,Unfair,Very Fair,Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair
942,1204,30-39,Graduate,Female,,<25000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Unfair,Somewhat Unfair,Very Fair,Very Fair,Somewhat Fair,Fair,Fair
943,873,30-39,Bachelor,Female,,50000-75000,false,true,false,false,false,,ins,properties first,Somewhat Unfair,Very Unfair,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Neutral
944,1210,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,ins,fairness first,Fair,Very Unfair,Somewhat Fair,Very Fair,Fair,Somewhat Fair,Neutral,Fair
945,526,50-59,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Unfair,Neutral,Somewhat Unfair,Somewhat Unfair,Neutral,Very Unfair
946,409,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Unfair
947,414,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Unfair,Unfair,Very Unfair,Very Unfair,Unfair,Unfair,Somewhat Unfair
948,444,18-29,High School,Male,,<25000,false,false,false,true,false,,ins,properties first,Unfair,Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Neutral,Somewhat Unfair
949,586,50-59,High School,Female,,75000-100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Unfair,Very Unfair,Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Unfair
950,472,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Neutral,Very Unfair,Somewhat Fair,Somewhat Fair,Unfair,Neutral,Unfair,Somewhat Unfair
952,326,30-39,Graduate,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Very Fair,Somewhat Fair,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Fair
953,567,50-59,High School,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Unfair,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Unfair,Somewhat Unfair,Unfair
954,386,30-39,Bachelor,Male,,>100000,false,true,false,true,false,,ins,properties first,Somewhat Unfair,Unfair,Very Unfair,Somewhat Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair
955,1394,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Unfair,Somewhat Unfair,Fair,Fair,Somewhat Unfair,Fair,Fair
956,784,30-39,High School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Neutral,Fair,Somewhat Fair
957,622,18-29,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Unfair,Very Unfair,Somewhat Fair,Fair,Somewhat Unfair,Very Unfair,Fair
958,659,50-59,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Unfair,Unfair,Somewhat Fair,Neutral,Somewhat Unfair,Somewhat Unfair,Neutral
959,491,30-39,Graduate,Female,,75000-100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Fair,Very Unfair
960,1160,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,ins,properties first,Neutral,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair
961,339,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,fairness first,Very Fair,Fair,Fair,Neutral,Neutral,Neutral,Fair,Neutral
962,577,40-49,High School,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Unfair,Very Unfair,Very Unfair,Unfair,Very Unfair,Very Unfair
963,325,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Very Fair,,,,Very Fair,,Fair,Somewhat Fair
964,1931,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Fair,Somewhat Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Neutral,Very Fair
965,597,60-69,Associate or Diploma,Female,,<25000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Somewhat Unfair,Unfair,Neutral,Fair,Unfair,Unfair,Somewhat Fair
967,1559,50-59,Graduate,Male,,75000-100000,false,false,false,true,false,,ins,properties first,Very Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Very Unfair,Somewhat Unfair,Unfair
968,380,60-69,Associate or Diploma,Male,,>100000,false,false,false,true,false,,ins,fairness first,Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Unfair
969,1421,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,ins,properties first,Very Fair,Fair,Unfair,Somewhat Unfair,Fair,Somewhat Fair,Very Fair,Somewhat Unfair
970,825,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,ins,properties first,Unfair,Very Unfair,Very Unfair,Fair,Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair
971,307,40-49,Less than high School,Female,,<25000,false,false,false,true,false,,ins,properties first,Very Unfair,Unfair,Very Unfair,Neutral,Very Unfair,Somewhat Fair,Very Unfair,Very Fair
972,378,50-59,Bachelor,Male,,>100000,false,false,false,true,false,,ins,fairness first,Fair,Very Fair,Somewhat Fair,Neutral,Neutral,Somewhat Unfair,Somewhat Unfair,Fair
973,493,60-69,Associate or Diploma,Female,,25000-50000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Fair,Somewhat Fair,Unfair,Unfair,Unfair,Unfair,Fair
974,381,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Very Fair,Very Unfair,Somewhat Fair,Fair,Unfair,Somewhat Fair,Very Fair,Very Fair
975,2557,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Somewhat Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair
976,430,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Unfair,Unfair,Somewhat Unfair,Unfair,Very Unfair,Unfair,Very Unfair
977,2029,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Unfair,Unfair,Fair,Somewhat Fair,Unfair,Fair,Unfair
978,3522,18-29,High School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair
979,766,40-49,High School,Male,,<25000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Unfair
980,350,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Neutral
981,456,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Very Unfair,Fair,Unfair,Somewhat Unfair,Fair,Somewhat Fair
982,430,30-39,High School,Male,,<25000,false,false,false,true,false,,ins,fairness first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Unfair
983,617,40-49,High School,Female,,<25000,false,false,false,true,false,,ins,properties first,Very Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Fair
984,1039,18-29,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Unfair,Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Fair
985,866,60-69,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Somewhat Fair,Somewhat Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Somewhat Fair
986,1341,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Fair
987,1151,30-39,High School,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Very Fair,Fair,Unfair,Unfair,Very Fair,Very Unfair,Somewhat Unfair,Very Fair
988,624,30-39,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,ins,fairness first,Somewhat Unfair,Very Unfair,Unfair,Unfair,Somewhat Unfair,Unfair,Very Unfair,Somewhat Unfair
989,691,50-59,High School,Female,,<25000,false,false,false,true,false,,ins,properties first,Fair,Neutral,Very Fair,Very Fair,Unfair,Unfair,Unfair,Very Fair
990,620,18-29,High School,Male,,25000-50000,false,true,false,true,false,,ins,properties first,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Unfair,Somewhat Unfair,Somewhat Fair
991,773,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,fairness first,Very Fair,Somewhat Fair,Somewhat Unfair,Very Fair,Very Fair,Somewhat Unfair,Unfair,Very Fair
992,1047,60-69,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Somewhat Fair,Somewhat Unfair,Unfair,Unfair,Unfair,Somewhat Fair,Fair
993,432,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
994,651,50-59,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair
995,1527,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,properties first,Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Somewhat Fair,Very Unfair,Unfair
996,877,50-59,Graduate,Male,,>100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Very Unfair,Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,
997,776,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair
998,694,50-59,Associate or Diploma,Male,,>100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Somewhat Unfair,Neutral,Neutral,Somewhat Unfair,Neutral,Fair,Fair
999,421,30-39,Bachelor,Male,,50000-75000,false,true,false,true,false,,ins,fairness first,Fair,Somewhat Fair,Fair,Somewhat Fair,Very Fair,Fair,Very Fair,Fair
2151,2433,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,ins,fairness first,Very Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Fair,Neutral,Unfair,Neutral
2152,1754,40-49,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Unfair,Somewhat Fair,Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair
2153,1078,18-29,High School,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Somewhat Fair,Very Unfair,Somewhat Unfair,Fair,Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair
2154,2065,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Neutral,Fair,Fair,Fair,Very Fair,Somewhat Unfair,Fair
2155,1144,30-39,Graduate,Male,,>100000,false,true,false,false,false,,ins,fairness first,Somewhat Fair,Fair,Unfair,Neutral,Somewhat Fair,Fair,Fair,Very Fair
2156,1365,30-39,Bachelor,Male,,25000-50000,false,false,false,true,true,,ins,properties first,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Unfair,Somewhat Fair
2157,458,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Unfair,Unfair,Fair,Fair,Neutral,Unfair,Fair
2158,446,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Unfair,Unfair,Somewhat Fair,Very Fair,Unfair,Somewhat Unfair,Fair
2159,1026,50-59,Bachelor,Male,,<25000,false,false,true,true,false,,ins,properties first,Somewhat Fair,Very Unfair,Unfair,Unfair,Somewhat Unfair,Unfair,Unfair,Fair
2160,3501,30-39,Graduate,Male,,>100000,false,false,true,false,false,,ins,fairness first,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair
2161,1224,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Unfair,Unfair,Somewhat Fair,Very Unfair,Somewhat Fair,Unfair,Very Unfair,
2162,894,18-29,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Unfair,Neutral,Fair,Somewhat Fair,Neutral,Unfair,Somewhat Unfair
2163,971,18-29,High School,Male,,<25000,false,false,false,true,false,,ins,fairness first,Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Unfair,Unfair
2164,1824,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Neutral,Fair,Fair,,Fair,Fair,Somewhat Unfair
2165,2415,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Somewhat Unfair,Very Unfair,Unfair,Unfair,Unfair,Somewhat Unfair,Fair
2166,1970,40-49,High School,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Neutral,Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Unfair
2167,880,18-29,Less than high School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Unfair,Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Fair
2168,1260,18-29,Bachelor,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Fair,Unfair,Somewhat Fair,Very Fair,Fair,Somewhat Unfair,Very Unfair,Neutral
2169,1468,18-29,High School,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Neutral,Fair
2170,2256,50-59,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Unfair,Fair,Unfair,Unfair,Unfair,Fair,Fair
2171,408,50-59,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,properties first,Very Unfair,Unfair,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair
2172,571,30-39,High School,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Fair,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Unfair,Very Unfair,Unfair,Fair
2173,2198,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,ins,fairness first,Very Fair,Very Unfair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Fair
2174,698,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Fair,Unfair,Unfair,Unfair,Unfair,Unfair,Fair,Fair
2175,458,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Fair,Unfair,Very Unfair,Somewhat Fair,Very Unfair,Somewhat Fair,Somewhat Fair,Unfair
2176,590,18-29,High School,Female,,<25000,false,false,false,true,true,,ins,properties first,Unfair,Somewhat Unfair,Unfair,Somewhat Fair,Neutral,Unfair,Somewhat Fair,Very Unfair
2177,602,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Very Unfair,Very Unfair,Somewhat Fair,Neutral,Unfair,Somewhat Unfair,Unfair
2178,2071,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,fairness first,Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
2179,1858,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,fairness first,Neutral,Unfair,Very Unfair,Neutral,Fair,Neutral,Unfair,Unfair
2180,2515,40-49,Bachelor,Male,,<25000,false,true,false,false,false,,ins,fairness first,Very Fair,Fair,Very Unfair,Very Fair,Very Fair,Unfair,Very Unfair,Very Fair
2181,3009,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,ins,fairness first,Very Fair,Fair,Very Fair,Very Fair,Fair,Fair,Somewhat Unfair,Somewhat Fair
2182,361,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Unfair,Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Unfair,Fair
2183,437,50-59,Graduate,Male,,<25000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Unfair,Unfair,Somewhat Unfair
2184,637,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,ins,fairness first,Fair,Somewhat Fair,Fair,Fair,Fair,Very Fair,Fair,Somewhat Fair
2185,3061,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,ins,properties first,Unfair,Unfair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Fair
2186,1218,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,ins,properties first,Fair,Very Unfair,Somewhat Fair,Very Fair,Somewhat Unfair,Unfair,Fair,Very Fair
2187,1106,30-39,Associate or Diploma,Male,,>100000,false,false,false,true,false,,ins,fairness first,Fair,Fair,Neutral,Fair,Very Fair,Somewhat Fair,Somewhat Fair,Fair
2188,1822,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,ins,fairness first,Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Fair,Very Fair
2189,1651,18-29,High School,Female,,50000-75000,false,false,false,false,true,,ins,fairness first,Neutral,Unfair,Unfair,Fair,Fair,Unfair,Unfair,Somewhat Unfair
2190,1321,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Very Fair,Somewhat Unfair,Unfair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Fair
2191,924,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Fair,Very Unfair,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair
2192,1147,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Unfair,Very Fair,Fair,Somewhat Fair,Neutral,Somewhat Fair,Very Fair
2193,2121,50-59,Associate or Diploma,Female,,50000-75000,true,false,false,false,false,,ins,fairness first,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Neutral,Somewhat Unfair,Somewhat Unfair,Neutral,Neutral
2194,2310,18-29,High School,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Somewhat Fair,Fair,Neutral,Unfair,Very Fair,Unfair,Fair,Neutral
2195,381,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,ins,properties first,Very Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Very Unfair,Very Unfair,Very Fair,Somewhat Fair
2196,1410,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,ins,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Fair
2197,983,40-49,High School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Somewhat Unfair,Very Unfair,Unfair,Fair,Fair,Unfair,Unfair,Somewhat Unfair
2198,428,50-59,High School,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Unfair,Unfair,Unfair,Unfair,Very Unfair,Unfair,Somewhat Unfair,Very Unfair
2199,1393,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Fair,Fair,Somewhat Fair,Fair,Neutral,Fair,Neutral,Fair
2200,772,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,properties first,Neutral,Very Unfair,Somewhat Fair,Somewhat Fair,Fair,Very Unfair,Unfair,Fair
2201,377,18-29,High School,,na,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Very Unfair,Somewhat Fair,Fair,Very Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair
2202,1220,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,ins,properties first,Unfair,Neutral,Very Unfair,Somewhat Fair,Neutral,Very Unfair,Very Unfair,Very Unfair
2203,3556,30-39,Graduate,Male,,25000-50000,false,false,false,true,false,,ins,properties first,Very Fair,Very Fair,Fair,Fair,Fair,Very Fair,Very Fair,Fair
2204,1344,40-49,Graduate,Male,,50000-75000,false,false,false,true,false,,ins,properties first,Neutral,Fair,Neutral,Very Fair,Fair,Somewhat Fair,Fair,Neutral
2205,1525,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,ins,properties first,Fair,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair,Very Fair
2206,327,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,ins,fairness first,Somewhat Fair,Neutral,Neutral,Fair,Somewhat Fair,Fair,Somewhat Fair,Neutral
2207,1661,30-39,Graduate,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Neutral,Neutral,Neutral
2208,1729,30-39,High School,Male,,25000-50000,false,false,false,true,false,,ins,fairness first,Neutral,Unfair,Very Unfair,Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Neutral
2209,2530,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Somewhat Fair
2210,711,30-39,Bachelor,Male,,>100000,false,false,true,false,false,,ins,fairness first,Neutral,Very Unfair,Somewhat Fair,Somewhat Fair,Fair,Very Fair,Somewhat Fair,Somewhat Unfair
2211,1178,30-39,Graduate,Female,,25000-50000,false,false,true,false,false,,ins,properties first,Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair
2212,2690,50-59,Graduate,Male,,75000-100000,false,false,false,true,false,,ins,fairness first,Somewhat Fair,Somewhat Fair,Very Fair,Somewhat Fair,Neutral,Very Fair,Somewhat Fair,Fair
