Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
634,689,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree
635,1742,40-49,Graduate,Female,,>100000,false,false,true,false,false,,unem,fairness first,Agree,Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
636,1045,18-29,Bachelor,Male,,>100000,false,true,false,false,false,,unem,properties first,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,,Disagree,Disagree,Disagree,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Neutral
637,715,40-49,Associate or Diploma,Female,,>100000,false,false,false,true,false,,unem,properties first,Agree,Agree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree
638,993,30-39,High School,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree
639,553,30-39,Associate or Diploma,Female,,<25000,false,false,false,true,false,,unem,fairness first,Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Agree,Neutral
640,1287,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,unem,properties first,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
641,2094,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,unem,properties first,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Disagree
642,1488,40-49,Bachelor,Female,,75000-100000,false,false,true,false,false,,unem,properties first,Neutral,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Somewhat Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
643,2201,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,unem,properties first,Agree,Neutral,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
