Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
1469,788,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,properties first,Very Fair,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
1470,765,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,,Very Fair,Neutral,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree
1471,2560,30-39,Bachelor,Male,,>100000,false,false,false,false,true,,loan,fairness first,Very Fair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Very Fair,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Very Fair,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Very Fair,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Strongly Agree,Very Fair,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Very Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Disagree,Very Fair,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral,Very Fair,Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Very Fair,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree
1472,1324,30-39,High School,Male,,25000-50000,true,false,false,true,false,,loan,fairness first,Fair,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Disagree,Strongly Agree,Agree,Very Unfair,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Disagree,Neutral,Strongly Agree,Neutral,Agree,Agree,Fair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Agree
1473,621,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,fairness first,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree
1474,1778,18-29,High School,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
1475,1487,60-69,High School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Unfair,Disagree,,Strongly Disagree,Somewhat Agree,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Disagree,Fair,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Strongly Agree,Agree,Disagree,,Agree,Agree,Very Unfair,Disagree,Strongly Agree,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Unfair,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Fair,Strongly Agree,Strongly Disagree,Agree,,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Disagree,Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree
1476,789,40-49,Bachelor,Female,,50000-75000,false,true,false,false,false,,loan,properties first,Somewhat Fair,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree
1477,728,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Strongly Agree,Neutral,Strongly Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Somewhat Unfair,Agree,Neutral,Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Very Unfair,Somewhat Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Unfair,Neutral,Somewhat Agree,Agree,Disagree,Neutral,Agree,Somewhat Agree,Neutral,Agree,Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Very Fair,Somewhat Agree,Disagree,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Unfair,Somewhat Agree,Disagree,Agree,Strongly Disagree,Somewhat Agree,Neutral,Disagree
1478,1701,50-59,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Disagree,Very Fair,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Unfair,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Disagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,Very Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
1479,469,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Unfair,Agree,Somewhat Agree,Strongly Disagree,Disagree,Agree,Agree,Neutral,Very Unfair,Somewhat Disagree,Strongly Agree,Neutral,Strongly Disagree,Agree,Agree,Neutral,Very Unfair,Agree,Agree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Unfair,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Very Unfair,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Agree,Agree
