Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Accuracy,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Accuracy,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Accuracy,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Accuracy,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Accuracy,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Accuracy,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Accuracy,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Accuracy,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Accuracy,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Accuracy,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
1870,1867,18-29,Bachelor,Male,,25000-50000,false,false,false,false,true,,cps,properties first,Unfair,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Very Fair,Agree,Agree,Somewhat Disagree,,Agree,Neutral,Disagree,Disagree,Fair,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Agree,Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Fair,Agree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Neutral,Neutral,Fair,Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Neutral,Strongly Agree,Somewhat Disagree
1871,1379,18-29,High School,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Neutral,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Disagree
1872,450,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
1873,417,50-59,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
1874,1951,30-39,Bachelor,Male,,75000-100000,false,false,true,false,false,,cps,properties first,Somewhat Unfair,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree
1875,2193,18-29,Bachelor,Female,,50000-75000,false,false,false,true,true,,cps,fairness first,Fair,Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Unfair,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Unfair,Agree,Neutral,Agree,Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Unfair,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Unfair,Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Unfair,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Fair,Somewhat Agree,Agree,Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Agree,Agree
1876,1726,18-29,Bachelor,Male,,75000-100000,false,false,false,true,true,,cps,fairness first,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Fair,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Somewhat Agree,,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Fair,Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Unfair,Agree,Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,,Strongly Agree,Strongly Agree,Fair,Agree,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
1877,1857,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,cps,fairness first,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral
1878,866,30-39,Associate or Diploma,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
1879,1748,18-29,Graduate,Male,,75000-100000,false,false,false,false,true,,cps,properties first,Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree
1880,586,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Fair,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Agree,,Neutral,Disagree,Disagree,,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Somewhat Agree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree
1881,1251,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Unfair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,,Agree,Agree,Somewhat Agree,Agree,Fair,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Fair,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree
1882,1245,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Unfair,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Unfair,Agree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Somewhat Fair,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree
1883,1768,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Somewhat Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Very Unfair,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Neutral,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Neutral,Somewhat Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Agree,Agree,Agree,Fair,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Neutral,Agree,Agree,Neutral,Agree,Somewhat Agree,Agree,Agree
1884,2413,18-29,Graduate,Male,,75000-100000,false,false,false,false,true,,cps,properties first,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Unfair,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Unfair,Agree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree
1885,1608,30-39,Graduate,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Very Fair,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree
1886,1178,50-59,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral
1887,2576,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Agree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Fair,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Very Unfair,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Very Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Very Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Disagree,Strongly Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Somewhat Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Disagree,Somewhat Agree,Agree,Disagree,Disagree,Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree
1888,1686,30-39,High School,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Disagree,Disagree,Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral
1889,559,50-59,Graduate,Male,,>100000,true,false,false,true,false,,cps,fairness first,Somewhat Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neutral,Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Fair,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Somewhat Disagree,Very Fair,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Very Fair,Disagree,Somewhat Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Strongly Disagree
