Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Relevance,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Current Charges Other,Criminal History,Criminal History Reliability,Criminal History Relevance,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Criminal History Other,Substance Abuse,Substance Abuse Reliability,Substance Abuse Relevance,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Substance Abuse Other,Employment and Living,Employment and Living Reliability,Employment and Living Relevance,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Employment and Living Other,Personality,Personality Reliability,Personality Relevance,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Personality Other,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Relevance,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Criminal Attitudes Other,Neighbourhood,Neighbourhood Reliability,Neighbourhood Relevance,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Neighbourhood Other,Friends and Family,Friends and Family Reliability,Friends and Family Relevance,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Friends and Family Other,Social Life,Social Life Reliability,Social Life Relevance,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Social Life Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other
103,475,60-69,High School,Female,,<25000,false,false,false,true,false,,rec,mentioned,version 1,Very Fair,true,true,true,false,false,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Very Unfair,true,true,true,true,true,false,false,false,,Very Unfair,false,true,false,true,false,false,true,false,,Very Unfair,true,true,true,true,false,false,false,false,,Unfair,false,true,false,true,true,false,true,false,,Very Unfair,true,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,
104,1131,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,rec,mentioned,version 1,Fair,true,true,true,true,true,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Somewhat Unfair,true,false,true,false,false,true,false,false,,Somewhat Unfair,true,false,true,false,true,true,true,false,,Very Unfair,true,true,true,false,true,false,true,true,,Unfair,true,true,false,false,true,false,false,false,,Very Unfair,true,true,false,true,true,true,true,true,,Very Unfair,true,true,true,true,false,true,true,false,,Very Unfair,true,true,true,false,true,false,false,false,,Very Unfair,false,true,true,true,true,true,true,false,
105,1694,60-69,Associate or Diploma,Female,,<25000,false,false,false,true,false,,rec,mentioned,version 1,Very Fair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,true,true,false,false,false,false,false,false,,Very Unfair,true,false,true,false,false,false,false,false,,Very Unfair,false,true,false,true,false,false,true,false,,Very Unfair,false,true,false,true,false,false,false,false,,Very Unfair,true,true,true,false,false,false,false,false,,Very Unfair,false,true,true,false,true,false,false,false,
106,691,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,true,true,false,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,true,false,false,true,true,false,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,,Somewhat Unfair,true,true,false,false,true,false,false,false,,Very Unfair,false,true,true,false,false,false,false,false,,Unfair,false,false,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,
107,1040,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,true,true,true,true,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Unfair,false,true,true,false,false,false,true,false,,Somewhat Unfair,true,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Fair,false,true,false,true,true,false,false,false,,Very Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,true,false,true,true,false,false,false,,Very Unfair,false,true,true,false,true,false,false,false,,Very Unfair,false,true,false,true,true,true,true,false,
108,307,30-39,Associate or Diploma,Male,,50000-75000,false,true,false,false,false,,rec,not-mentioned,version 1,Very Fair,false,false,false,true,false,false,false,false,,Very Fair,false,false,false,false,true,false,false,false,,Very Fair,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,
109,450,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,not-mentioned,version 1,Very Fair,true,true,true,true,false,false,false,false,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,false,true,true,true,true,true,,Very Fair,true,true,false,true,true,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Very Fair,true,true,false,true,true,true,true,true,,Very Unfair,true,true,false,true,false,false,false,false,,Very Fair,false,true,false,false,true,true,true,true,,Very Unfair,true,true,true,false,false,false,false,false,,Unfair,false,true,false,false,true,false,false,false,
110,720,18-29,Associate or Diploma,Male,,<25000,false,false,false,true,false,,rec,mentioned,version 2,Fair,true,true,true,true,false,false,false,false,,Very Fair,true,true,false,true,false,false,true,true,,Neutral,false,false,false,false,false,false,false,false,Substance abuse history doesn't take into account the fact the person may be agreeing to seek rehab or has already set up a rehab plan.,Somewhat Unfair,false,true,true,false,false,true,true,false,,Somewhat Unfair,false,false,false,false,false,true,true,false,,Somewhat Fair,false,true,false,false,true,false,true,true,,Very Unfair,false,true,false,true,false,true,true,false,,Very Unfair,false,true,false,true,false,true,true,false,,Very Unfair,true,true,true,false,false,true,true,false,,Very Unfair,false,true,false,false,false,true,true,false,
111,633,50-59,High School,Male,,50000-75000,false,false,false,true,false,,rec,mentioned,version 1,Very Fair,true,true,true,true,true,true,true,false,,Very Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,true,true,true,true,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Very Unfair,true,true,false,false,false,false,false,false,,Very Unfair,true,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,true,false,false,false,,Very Unfair,false,true,false,true,false,false,false,false,,Very Unfair,false,true,true,false,true,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,
112,285,30-39,Bachelor,Male,,>100000,false,true,false,false,false,,rec,not-mentioned,version 2,Very Fair,true,true,false,true,true,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Fair,false,true,false,true,true,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Somewhat Unfair,true,false,true,false,false,false,false,false,,Somewhat Fair,false,true,false,true,false,false,false,false,,Neutral,false,false,true,false,false,false,false,false,,Unfair,true,false,true,true,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Unfair,false,true,true,false,false,false,false,false,
113,239,18-29,Associate or Diploma,Male,,25000-50000,true,false,false,false,false,,rec,not-mentioned,version 2,Very Fair,true,true,false,true,false,false,false,false,,Very Fair,true,true,true,true,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Somewhat Fair,true,true,false,true,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Unfair,true,true,false,false,false,false,false,false,
114,797,30-39,Bachelor,Female,,50000-75000,false,false,true,false,false,,rec,mentioned,version 2,Somewhat Fair,true,true,true,true,true,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,true,false,false,true,true,false,false,true,,Unfair,false,false,false,false,false,true,false,false,,Somewhat Unfair,true,true,false,false,false,true,true,false,,Somewhat Unfair,true,true,false,true,false,false,false,false,,Unfair,false,true,false,true,true,true,true,true,,Very Unfair,false,true,false,true,true,true,false,false,,Very Unfair,true,true,true,false,true,true,false,false,,Very Unfair,false,true,false,false,true,true,true,true,
115,893,18-29,High School,Female,,50000-75000,false,false,false,true,false,,rec,mentioned,version 1,Somewhat Fair,true,true,true,true,false,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Unfair,false,true,false,false,false,true,true,false,,Somewhat Unfair,false,true,false,true,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Very Unfair,false,true,false,true,false,true,true,true,,Very Unfair,false,true,false,true,true,true,true,true,,Very Unfair,true,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,true,true,true,false,
116,833,18-29,High School,Male,,<25000,false,false,false,true,false,,rec,not-mentioned,version 1,Fair,true,true,false,true,false,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Unfair,false,true,true,false,false,true,false,false,,Somewhat Unfair,false,true,false,true,false,false,true,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,true,true,false,true,false,,Very Unfair,false,false,false,true,false,true,true,false,,Unfair,false,true,true,false,false,false,false,false,,Unfair,false,true,false,false,false,false,true,false,
117,378,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,not-mentioned,version 1,Very Fair,true,true,true,true,true,false,true,true,,Fair,true,true,true,true,true,false,false,false,,Very Unfair,true,true,false,true,false,false,false,false,,Very Unfair,false,false,false,false,false,true,true,false,,Unfair,true,true,false,true,false,false,false,false,,Unfair,true,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,true,true,true,,Very Unfair,true,true,false,true,true,false,false,false,,Unfair,true,true,true,true,false,false,false,false,,Very Unfair,true,false,false,true,true,true,true,true,
118,1515,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,rec,mentioned,version 1,Neutral,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,false,true,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Fair,false,false,true,false,false,false,false,false,,Somewhat Fair,false,false,true,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,
119,1604,40-49,High School,Female,,<25000,false,false,false,true,false,,rec,not-mentioned,version 1,Fair,true,true,true,true,true,false,false,false,,Very Fair,false,true,false,true,true,false,false,false,,Very Fair,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,true,false,true,false,false,,Somewhat Fair,false,false,false,false,true,true,false,false,,Fair,false,false,false,true,false,false,true,false,,Unfair,false,true,false,true,false,false,false,false,,Somewhat Unfair,true,true,true,true,true,false,false,false,,Somewhat Unfair,true,true,true,false,false,false,true,true,,Unfair,false,false,false,true,false,false,true,true,
120,1095,30-39,Graduate,Female,,75000-100000,false,false,false,true,false,,rec,mentioned,version 2,Very Fair,true,true,true,true,false,false,false,true,,Very Fair,true,true,true,true,true,false,false,false,,Fair,true,false,false,true,true,false,false,false,,Fair,true,true,false,true,false,true,true,false,,Unfair,true,true,false,true,true,false,false,false,,Unfair,true,true,true,false,false,false,false,true,,Very Fair,true,false,true,true,false,true,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Unfair,false,false,true,true,true,false,false,false,,Somewhat Fair,true,false,true,true,false,false,false,false,
121,604,30-39,High School,Female,,<25000,false,false,true,false,false,,rec,not-mentioned,version 2,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Unfair,false,true,true,false,false,true,true,true,,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Unfair,false,true,false,true,false,true,false,false,,Somewhat Unfair,false,true,false,true,false,true,true,false,,Very Unfair,true,true,true,false,false,true,true,true,,Very Unfair,false,true,false,false,false,true,true,true,
122,373,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,true,false,false,false,false,false,false,,Fair,true,false,true,false,true,false,false,false,,Fair,true,true,false,false,false,false,true,false,,Somewhat Unfair,false,true,false,true,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Neutral,false,false,false,false,false,false,false,true,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,false,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,
123,836,30-39,Bachelor,Male,,>100000,false,true,false,true,false,pacific islander,rec,mentioned,version 1,Very Fair,true,true,true,true,false,false,false,false,,Very Fair,true,true,true,true,false,false,false,false,,Somewhat Fair,true,false,false,true,true,false,false,false,,Very Fair,true,false,true,false,true,false,false,false,,Somewhat Fair,false,true,true,false,false,false,false,false,,Fair,false,true,false,true,true,false,false,false,,Very Unfair,false,true,false,true,false,false,false,false,,Very Unfair,false,true,false,true,false,false,false,false,,Very Unfair,false,true,false,true,false,false,false,false,,Very Unfair,false,true,false,false,true,true,true,false,
124,947,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Unfair,true,false,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,true,true,true,false,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Very Unfair,false,false,false,true,false,true,true,true,,Very Unfair,true,false,false,true,true,false,true,true,,Unfair,true,false,true,false,false,true,false,false,,Very Unfair,false,true,false,false,false,false,false,false,
125,767,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,rec,not-mentioned,version 1,Fair,true,true,false,true,false,false,false,false,,Fair,true,true,false,true,false,false,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,,Unfair,true,true,true,true,false,false,false,false,,Somewhat Unfair,true,false,true,false,false,false,false,false,,Unfair,false,true,false,true,true,false,false,false,,Unfair,false,true,true,true,true,false,false,false,,Unfair,true,true,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,
126,234,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,false,true,true,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Somewhat Fair,true,false,true,true,true,false,false,false,,Fair,true,true,true,false,true,false,false,false,,Somewhat Fair,true,false,true,true,false,false,false,false,,Somewhat Fair,true,false,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,false,true,false,,Very Unfair,false,true,false,true,true,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,
127,999,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,rec,mentioned,version 1,Very Fair,true,true,false,false,false,true,false,false,,Very Fair,true,false,true,true,false,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,,Somewhat Unfair,true,true,false,false,false,false,false,false,,Very Unfair,true,true,false,true,false,true,true,false,,Very Unfair,false,false,true,true,true,false,false,false,,Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,
128,961,40-49,High School,Female,,25000-50000,false,false,false,true,false,,rec,mentioned,version 1,Very Fair,true,true,true,true,true,true,true,false,,Very Fair,true,true,true,true,true,false,true,false,,Very Fair,true,true,true,true,true,false,true,false,,Somewhat Fair,true,false,true,false,true,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,true,false,true,false,false,false,false,false,,Unfair,false,true,false,true,true,false,false,false,,Unfair,false,true,true,true,false,false,false,false,,Unfair,false,true,true,false,false,true,false,false,,Very Unfair,false,true,false,false,true,false,false,false,
129,297,18-29,Associate or Diploma,Female,,50000-75000,false,false,false,false,true,,rec,mentioned,version 1,Very Fair,true,true,false,true,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Fair,false,true,false,true,true,false,false,false,,Neutral,true,true,false,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Unfair,false,false,false,false,false,false,false,false,The situations are hypothetical and they might respond differently in real life versus what they answer with making it unreliable.,Somewhat Unfair,false,false,false,true,false,true,false,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Somewhat Unfair,true,true,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,true,false,false,
130,1003,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,rec,not-mentioned,version 1,Fair,true,false,false,true,false,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Unfair,false,false,true,false,true,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Fair,false,true,true,false,true,false,false,false,,Somewhat Fair,false,false,true,false,true,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,true,false,false,false,false,,Somewhat Unfair,true,true,false,false,false,false,false,false,
131,1686,40-49,Bachelor,,,25000-50000,false,false,false,true,false,,rec,mentioned,version 1,Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Fair,true,false,false,true,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Unfair,false,false,false,false,false,true,false,false,,Very Unfair,true,false,false,false,true,true,false,false,,Somewhat Unfair,false,true,false,true,false,false,false,false,,Unfair,true,false,true,true,true,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Unfair,false,false,false,true,false,false,false,false,
132,392,50-59,High School,Male,,25000-50000,false,false,false,true,false,,rec,not-mentioned,version 2,Very Fair,true,true,true,true,false,false,false,false,,Very Fair,true,true,false,true,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,true,false,false,true,true,false,false,false,,Unfair,true,false,false,false,false,false,false,false,,Unfair,true,false,false,false,false,false,false,false,,Unfair,false,false,false,true,false,true,true,true,,Very Unfair,false,true,false,true,true,true,false,false,,Unfair,true,false,true,false,false,false,false,false,,Unfair,false,true,false,false,true,true,true,true,
