Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Race,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Race Other,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Residence Other,Hospital Treated,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Hospital Treated Other,Admission,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Admission Other,Number of Discharges,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,Number of Discharges Other,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group,History of Health Other
318,739,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Fair,true,false,false,false,true,false,false,false,,Very Unfair,false,true,false,true,true,false,true,true,,Very Unfair,false,false,false,true,true,true,true,true,,Neutral,false,false,false,false,false,false,true,false,,Somewhat Fair,false,true,false,false,false,false,true,false,,Fair,true,true,true,false,false,false,false,false,,Very Fair,true,false,true,false,true,false,true,false,,Very Fair,true,true,true,false,true,true,false,false,
319,438,40-49,Graduate,Female,,<25000,false,false,false,true,false,,hos,not-mentioned,version 2,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,
320,743,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,hos,not-mentioned,version 1,Somewhat Unfair,false,true,true,false,false,false,false,false,,Unfair,false,true,false,false,false,true,true,false,,Very Unfair,false,true,false,true,true,true,true,false,,Neutral,true,false,false,true,true,false,false,false,,Neutral,true,true,true,false,false,false,false,false,,Neutral,false,true,false,true,false,false,false,false,,Unfair,false,true,false,true,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,
321,1391,18-29,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,mentioned,version 1,Somewhat Fair,false,false,false,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Fair,false,false,false,false,false,true,false,false,,Fair,false,false,true,false,false,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Fair,false,false,false,false,false,true,false,false,,Neutral,false,false,false,false,true,false,false,false,
322,952,30-39,High School,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Somewhat Fair,true,false,false,false,false,false,false,false,,Unfair,false,true,true,true,true,false,false,false,,Very Unfair,false,true,true,true,false,false,false,false,,Unfair,false,true,true,true,true,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Fair,true,false,false,false,true,false,false,false,
323,318,18-29,Associate or Diploma,Female,,<25000,false,false,true,false,false,,hos,not-mentioned,version 1,Somewhat Fair,false,true,false,false,true,false,false,false,,Very Unfair,false,false,false,true,false,false,true,false,,Very Unfair,false,false,false,false,false,false,true,false,,Unfair,false,false,false,false,true,true,false,false,,Very Fair,true,false,false,false,false,false,false,false,,Neutral,false,false,false,false,false,true,false,false,,Very Fair,false,true,false,true,false,false,true,false,,Very Unfair,false,true,false,false,false,false,false,false,
324,779,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,hos,not-mentioned,version 2,Somewhat Fair,true,true,false,true,true,false,false,false,,Very Fair,false,true,true,true,true,false,false,false,,Very Unfair,true,false,false,false,false,true,true,false,,Fair,true,true,false,true,true,false,false,false,,Somewhat Fair,true,true,true,true,true,false,false,false,,Fair,true,true,false,true,true,false,false,false,,Very Fair,true,true,true,true,false,false,false,false,,Fair,true,true,true,true,false,false,false,false,
325,930,30-39,High School,Male,,25000-50000,false,false,true,false,false,,hos,not-mentioned,version 2,Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,true,true,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,true,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,
326,1398,30-39,High School,Male,,75000-100000,false,false,false,true,false,,hos,not-mentioned,version 2,Very Fair,true,true,true,true,true,true,true,false,,Very Fair,true,true,true,false,false,true,true,true,,Very Fair,true,true,true,true,true,true,true,false,,Fair,true,false,false,false,false,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,false,true,true,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,false,true,true,false,true,true,
327,503,40-49,Associate or Diploma,,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,false,false,true,true,true,false,false,false,,Very Unfair,false,true,false,true,true,false,false,false,,Somewhat Unfair,true,true,true,false,false,false,false,false,,Neutral,true,true,false,true,true,false,false,false,,Fair,true,true,false,false,false,true,false,false,,Fair,true,true,false,true,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
328,910,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 2,Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,false,true,false,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,true,"In instances where race plays a role in a medical condition (sickle cell disease, etc, I think this can be reasonable",Very Unfair,false,false,true,false,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Very Fair,false,true,false,false,true,false,false,false,
329,1120,40-49,High School,Female,,<25000,false,false,false,true,false,,hos,mentioned,version 2,Unfair,true,false,true,true,false,false,false,false,,Unfair,false,false,true,false,false,false,false,false,,Very Unfair,false,true,true,false,false,false,false,false,,Unfair,false,false,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,,Very Unfair,false,false,false,true,false,false,true,false,,Somewhat Unfair,true,false,false,false,true,false,false,false,,Unfair,false,false,false,false,true,false,false,false,
330,160,30-39,Graduate,Male,,<25000,false,false,false,true,false,,hos,mentioned,version 2,Somewhat Fair,false,true,false,false,true,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Unfair,false,true,false,true,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,true,false,true,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,
331,415,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,not-mentioned,version 1,Very Fair,true,true,true,false,true,false,false,false,,Somewhat Fair,true,true,true,false,true,false,false,false,,Somewhat Unfair,false,true,false,true,false,true,true,true,,Somewhat Unfair,false,true,true,false,false,true,true,false,,Somewhat Fair,true,true,true,false,true,true,true,false,,Very Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
332,355,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,hos,mentioned,version 1,Unfair,false,true,false,true,true,true,true,true,,Very Unfair,false,true,false,true,false,false,true,true,,Very Unfair,false,false,false,true,true,true,true,true,,Fair,true,true,false,true,false,true,false,false,,Fair,false,true,false,true,false,false,true,true,,Fair,true,true,false,false,false,true,true,true,,Somewhat Fair,true,true,false,false,false,false,true,false,,Fair,false,true,false,false,true,false,false,false,
333,676,50-59,High School,Female,,25000-50000,false,false,false,true,false,,hos,mentioned,version 2,Somewhat Fair,false,false,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Fair,false,false,false,false,true,false,false,false,
334,641,40-49,High School,Male,,75000-100000,false,false,false,true,false,,hos,not-mentioned,version 1,Very Unfair,false,false,false,false,false,true,true,false,,Very Unfair,false,true,false,true,false,true,true,false,,Very Unfair,false,true,false,true,true,true,true,false,,Very Unfair,false,true,false,true,false,true,true,false,,Fair,false,true,false,false,true,false,true,false,,Neutral,false,true,false,false,false,false,false,false,,Very Unfair,true,true,false,false,false,true,true,false,,Very Unfair,false,false,false,false,false,true,false,false,
335,849,30-39,High School,Male,,25000-50000,false,true,false,false,false,,hos,not-mentioned,version 2,Somewhat Fair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,false,true,false,false,false,false,false,,Unfair,false,false,false,false,true,false,false,false,,Neutral,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Neutral,false,true,false,false,false,false,false,false,,Neutral,false,true,false,false,false,false,false,false,
336,883,60-69,Graduate,Female,,50000-75000,false,false,false,true,false,,hos,mentioned,version 1,Fair,true,true,false,false,true,true,true,true,,Fair,true,false,false,false,false,true,true,true,,Unfair,false,false,false,true,true,true,true,true,,Fair,true,false,false,true,true,true,true,true,,Very Fair,true,true,false,true,false,true,true,true,,Very Fair,true,true,false,true,false,true,true,true,,Very Fair,true,true,false,true,false,true,true,true,,Very Fair,true,true,false,false,true,true,true,true,
337,324,40-49,High School,Female,,50000-75000,false,false,true,false,false,,hos,mentioned,version 2,Somewhat Fair,false,true,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,true,false,false,true,false,,Somewhat Unfair,false,true,false,false,false,false,true,true,,Somewhat Fair,false,true,true,false,false,false,false,false,,Somewhat Fair,true,true,true,false,true,false,false,false,,Somewhat Fair,false,true,true,false,true,false,false,false,,Somewhat Fair,true,true,true,false,true,false,false,false,,Somewhat Fair,false,true,true,false,true,false,false,false,
338,281,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 2,Fair,true,true,false,false,false,false,false,false,,Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,false,false,false,false,false,false,false,true,Some illnesses are more prevalent in certain races.,Somewhat Unfair,false,false,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,true,false,true,false,false,,Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
339,631,40-49,Bachelor,Male,,50000-75000,false,false,true,false,false,,hos,not-mentioned,version 1,Fair,true,true,false,false,true,true,true,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,true,false,true,false,true,true,true,,Fair,true,true,false,true,true,true,true,true,,Fair,true,true,true,true,true,true,true,true,,Fair,true,true,false,true,true,true,true,true,,Very Fair,true,true,false,true,true,true,true,true,
340,877,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Very Fair,false,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Fair,false,true,true,true,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
341,644,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,not-mentioned,version 2,,false,false,true,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Neutral,false,true,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,
342,634,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,hos,not-mentioned,version 2,Very Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,false,false,true,false,false,true,false,,Very Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Very Unfair,false,false,false,true,false,false,false,false,,Very Fair,true,false,false,false,false,true,false,false,,Very Fair,false,true,false,false,false,false,false,false,
343,1353,50-59,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,mentioned,version 2,Very Unfair,true,true,true,true,false,true,true,false,,Very Unfair,false,false,false,false,false,false,true,false,,Very Unfair,false,false,false,true,false,true,true,false,,Very Unfair,false,true,true,false,false,true,false,false,,Very Unfair,false,false,true,false,false,false,false,false,,Very Unfair,false,false,true,false,false,false,false,false,,Very Unfair,false,true,true,true,false,true,false,false,,Very Unfair,false,true,true,false,false,false,false,false,
344,439,50-59,High School,Female,,<25000,false,false,false,true,false,,hos,mentioned,version 2,Somewhat Fair,false,false,false,false,true,false,false,false,,Neutral,false,false,false,false,false,true,false,false,,Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,,Neutral,false,false,false,false,false,true,false,false,,Very Fair,false,true,false,false,false,false,false,false,,Neutral,false,true,false,false,false,false,false,false,,Very Fair,false,true,false,false,false,false,false,false,
345,540,18-29,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,hos,not-mentioned,version 2,Somewhat Fair,true,true,false,false,true,false,false,false,,Unfair,false,false,false,true,false,false,true,false,,Unfair,false,true,false,false,false,true,true,true,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Somewhat Fair,true,false,true,false,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,
346,410,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 2,Fair,true,false,false,false,true,false,false,false,,Unfair,false,false,false,false,true,false,false,false,,Very Unfair,false,true,false,true,true,true,true,false,,Somewhat Unfair,false,false,false,false,false,false,false,true,,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,true,true,true,,Very Fair,false,true,false,true,true,true,true,true,,Very Fair,false,true,false,true,true,true,true,false,
347,467,40-49,Graduate,Male,,75000-100000,false,false,true,false,false,,hos,mentioned,version 2,Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,false,true,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Fair,false,true,false,false,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,
348,379,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,hos,mentioned,version 1,Very Fair,false,true,false,false,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,true,true,true,true,,Somewhat Fair,true,false,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
349,1109,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,hos,not-mentioned,version 1,Very Fair,true,true,false,false,true,false,false,false,,Very Unfair,false,false,false,true,true,false,true,false,,Very Unfair,false,false,false,true,false,false,true,true,,Very Unfair,false,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
350,295,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,not-mentioned,version 1,Very Unfair,false,false,false,true,false,false,true,true,,Very Unfair,false,false,false,true,false,false,true,true,,Very Unfair,false,true,false,true,true,true,true,true,,Unfair,false,true,false,false,true,false,true,true,,Unfair,false,false,false,true,false,false,true,false,,Fair,true,true,false,false,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,
351,461,30-39,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Unfair,false,false,false,true,false,false,false,false,Age is irrelevant to whether or not they NEED medical care. Denying based on age could kill them.,Very Unfair,false,true,false,true,true,true,true,false,,Very Unfair,false,true,false,true,true,true,true,false,,Very Unfair,false,true,true,false,true,false,false,false,,Very Unfair,false,false,false,true,true,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,
352,232,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,not-mentioned,version 2,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Unfair,false,false,false,true,false,false,true,true,,Very Unfair,false,true,false,false,true,false,true,true,,Unfair,false,false,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,true,false,,Very Fair,false,true,false,false,true,false,false,false,
353,509,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 2,Somewhat Fair,true,true,false,false,true,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,true,true,true,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,true,true,true,,Somewhat Fair,true,true,false,false,false,false,false,false,,Very Fair,false,true,false,false,true,false,true,true,
354,612,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 1,Very Fair,true,true,true,false,true,false,false,false,,Very Unfair,true,true,false,true,true,false,false,false,,Very Unfair,true,true,false,true,false,false,false,false,,Unfair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Neutral,false,false,false,false,false,false,false,false,I'm not sure about this one.,Fair,true,true,false,false,false,false,false,false,
355,270,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,mentioned,version 2,Very Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,true,true,false,false,false,,Very Unfair,false,true,false,false,true,false,true,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
356,378,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,not-mentioned,version 1,Very Fair,true,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,true,true,,Very Unfair,false,true,false,false,true,false,true,true,,Unfair,false,true,false,false,true,false,true,false,,Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,
357,285,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,true,,hos,not-mentioned,version 1,Somewhat Unfair,false,false,false,false,false,false,true,false,,Fair,true,true,false,false,false,false,false,false,,Very Unfair,false,false,false,false,false,false,false,true,,Neutral,true,false,false,false,false,false,false,false,,Somewhat Fair,true,true,false,true,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Unfair,true,false,false,false,false,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,
358,852,70 up,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,mentioned,version 1,Very Fair,true,true,false,false,true,false,false,false,,Fair,true,true,false,false,false,true,false,false,,Somewhat Unfair,false,false,true,true,false,false,false,false,,Somewhat Fair,true,true,false,true,false,false,false,false,,Very Fair,true,false,false,false,true,false,false,false,,Very Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,
359,1087,30-39,Graduate,Male,,75000-100000,false,false,false,true,false,,hos,mentioned,version 1,Fair,true,false,true,false,true,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,true,false,,Unfair,false,true,true,true,true,true,true,true,,Unfair,false,true,true,false,false,true,true,true,,Neutral,false,false,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,true,true,true,,Very Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
