Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other,Work History,Work History Reliability,Work History Relevance,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Work History Other,Skills,Skills Reliability,Skills Relevance,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Skills Other,Disability,Disability Reliability,Disability Relevance,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Disability Other,Time Unemployed,Time Unemployed Reliability,Time Unemployed Relevance,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Time Unemployed Other,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Residence Other,Reason,Reason Reliability,Reason Relevance,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Reason Other,Initiative,Initiative Reliability,Initiative Relevance,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group,Initiative Other
173,1077,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,unem,mentioned,version 1,Unfair,false,true,false,false,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Fair,true,false,false,false,false,true,false,false,,Fair,true,true,false,false,false,false,false,false,,Fair,true,false,false,true,false,false,false,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Unfair,false,false,true,true,false,false,false,false,,Neutral,false,false,true,true,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,
174,279,50-59,High School,Male,,75000-100000,false,false,false,true,false,,unem,not-mentioned,version 2,Somewhat Unfair,false,false,true,true,false,true,true,true,,Very Unfair,false,true,false,true,true,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,true,false,true,false,true,true,,Somewhat Fair,true,true,false,false,true,false,true,true,,Somewhat Fair,true,true,true,true,true,true,true,true,,Very Unfair,false,true,true,false,true,true,true,true,,Neutral,false,false,false,false,false,true,true,true,,Somewhat Unfair,true,false,true,false,false,true,false,false,
175,599,30-39,High School,Male,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 1,Somewhat Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,true,true,false,,Unfair,true,true,false,true,false,false,false,false,it's unfair to older people. my dad was born in the 40's and forced to drop out in 7th grade to work on the farm. wasn't his choice. they didn't need educations back then,Somewhat Unfair,true,false,false,false,false,false,true,false,if there are no jobs it's not the persons fault,Somewhat Unfair,true,false,false,true,false,false,true,false,,Unfair,true,false,false,true,false,true,true,false,,Somewhat Unfair,false,true,false,true,false,false,false,false,i think someone unemployed 1 day is just as needy as someone unemployed 6 months. they both don't have a job at this point,Somewhat Unfair,false,false,false,false,false,true,false,false,,Unfair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,true,false,some people due to education or connections will have an advantage. for instance i live in a small town of 2500 ppl there are hardly any jobs you could have the best initiative and that's meaningless when there's no available jobs
176,609,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,unem,not-mentioned,version 1,Unfair,false,true,false,false,false,true,false,false,,Unfair,false,false,false,true,false,true,true,false,,Somewhat Fair,true,true,true,false,false,false,false,false,,Very Fair,true,true,false,true,true,false,true,false,,Very Fair,true,true,true,true,true,false,true,false,,Fair,false,false,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,,Fair,false,true,false,true,false,false,false,false,
177,1328,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,unem,not-mentioned,version 1,Unfair,false,false,true,false,false,true,false,false,,Very Unfair,false,false,true,false,false,false,false,false,,Neutral,false,false,false,true,true,false,false,false,,Somewhat Unfair,false,false,true,false,false,false,false,false,,Neutral,false,true,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Unfair,false,false,false,false,false,true,false,false,,Neutral,false,false,false,false,true,false,false,false,,Neutral,false,true,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,
178,262,30-39,Bachelor,Female,,>100000,false,true,false,false,false,,unem,mentioned,version 1,Unfair,false,true,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Neutral,true,false,false,true,true,false,false,false,,Somewhat Fair,false,true,false,true,false,false,false,false,,Neutral,false,false,false,true,false,true,false,false,,Neutral,false,false,false,false,true,false,false,false,,Somewhat Fair,true,false,true,false,false,false,false,false,,Very Unfair,false,true,true,false,false,false,false,false,,Very Unfair,true,true,true,false,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,
179,389,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,unem,mentioned,version 1,Somewhat Fair,false,true,false,false,true,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Very Fair,false,true,false,true,true,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Very Fair,false,true,false,false,true,false,false,false,,Fair,false,false,false,true,false,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Very Fair,false,false,false,true,false,false,false,false,,Very Fair,false,true,false,true,true,false,false,false,
180,414,30-39,Bachelor,Male,,50000-75000,false,true,false,false,false,,unem,not-mentioned,version 1,Somewhat Unfair,false,false,false,true,false,true,true,false,,Very Unfair,false,true,false,true,false,false,true,false,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,true,true,true,true,true,true,,Fair,true,true,false,false,true,true,false,false,,Fair,true,true,true,false,true,false,false,false,,Unfair,false,true,false,false,false,true,false,false,,Very Fair,false,true,true,true,true,true,true,true,,Somewhat Fair,false,true,true,true,true,true,true,true,
181,527,50-59,High School,Female,,50000-75000,false,false,false,true,false,,unem,mentioned,version 2,Somewhat Fair,false,false,true,false,true,false,false,false,,Unfair,false,true,false,true,false,false,true,true,,Very Fair,false,true,false,true,true,false,false,false,,Fair,false,true,true,true,false,false,true,true,,Very Fair,false,true,true,false,true,false,true,true,,Fair,false,true,false,false,true,false,false,false,,Fair,false,true,true,true,true,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,,Very Fair,false,true,true,true,false,true,true,true,,Very Fair,false,true,false,true,false,true,true,true,
182,665,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,unem,not-mentioned,version 1,Somewhat Fair,true,true,true,false,false,false,false,false,,Very Unfair,false,true,false,true,true,false,false,false,,Somewhat Fair,false,false,true,true,false,false,false,false,,Very Fair,true,true,true,true,false,false,false,false,,Somewhat Fair,true,false,true,false,true,false,false,false,,Fair,true,false,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,true,false,false,false,false,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,true,false,false,true,false,,Fair,true,true,false,true,false,false,false,false,
183,672,30-39,High School,Male,,25000-50000,false,false,false,true,false,,unem,mentioned,version 1,Unfair,false,true,false,true,true,false,true,true,,Very Unfair,false,true,false,true,true,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Very Fair,true,true,true,false,false,false,true,true,,Neutral,true,true,false,false,false,false,true,false,,Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,true,,Somewhat Unfair,true,true,false,false,true,false,false,false,,Fair,false,false,false,false,false,false,true,false,
184,1563,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,unem,mentioned,version 1,Very Unfair,false,true,true,true,false,true,true,true,,Very Unfair,false,false,false,true,true,false,true,true,,Unfair,false,false,true,false,false,true,true,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Unfair,true,false,true,true,false,false,false,false,,Very Unfair,false,false,true,false,false,false,true,true,,Somewhat Fair,true,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,true,false,,Very Unfair,false,true,true,false,false,false,false,false,,Somewhat Unfair,false,true,true,false,false,false,false,false,
185,473,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 2,Very Unfair,false,false,false,false,true,false,false,false,,Very Unfair,true,false,false,false,false,false,false,false,,Unfair,false,false,false,false,true,false,false,false,,Very Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Very Unfair,true,false,false,false,false,false,false,false,,Very Fair,false,true,false,false,false,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,,Very Fair,true,false,false,false,false,false,false,false,,Very Fair,false,true,false,false,false,false,false,false,
186,576,50-59,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 2,Very Unfair,false,false,false,false,false,false,true,false,,Very Unfair,false,true,false,true,false,true,true,false,,Very Unfair,false,false,false,false,false,false,true,true,,Somewhat Unfair,false,false,false,true,false,true,false,false,,Very Unfair,false,true,false,false,false,true,true,false,,Very Unfair,false,false,false,false,false,false,true,false,,Neutral,true,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,false,true,false,true,false,false,false,,Somewhat Fair,true,false,true,false,false,false,false,false,
187,181,30-39,High School,Male,,50000-75000,false,false,false,true,false,,unem,not-mentioned,version 2,Somewhat Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,false,false,true,false,false,true,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,false,false,false,false,true,false,false,,Very Unfair,false,false,false,false,false,true,true,false,,Very Unfair,false,false,false,false,false,false,false,true,,Unfair,false,false,false,false,false,true,true,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,false,false,
188,1096,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,false,true,,unem,mentioned,version 1,Fair,true,true,true,false,true,false,false,false,,Somewhat Unfair,false,false,false,true,true,false,false,false,,Neutral,true,false,true,true,true,false,false,false,,Fair,true,true,true,true,true,false,true,true,,Neutral,true,false,true,true,false,false,true,true,,Fair,true,true,true,false,true,false,false,false,,Fair,true,true,true,false,false,true,true,false,,Fair,true,true,true,true,false,false,true,true,,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,true,true,true,true,false,false,false,
189,505,40-49,Bachelor,Male,,75000-100000,false,true,false,false,false,,unem,not-mentioned,version 2,Somewhat Unfair,false,false,false,true,false,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,true,false,,Somewhat Fair,false,false,false,true,true,false,false,true,,Somewhat Fair,false,false,false,true,true,false,false,false,,Fair,false,false,false,true,true,false,false,true,,Fair,false,false,false,false,true,false,false,true,,Fair,false,false,false,true,true,false,false,true,,Very Unfair,false,false,false,false,true,false,false,false,,Unfair,true,false,false,false,false,false,false,true,,Somewhat Fair,false,false,false,true,true,false,false,true,
190,418,30-39,Graduate,Male,,>100000,false,true,false,false,false,,unem,mentioned,version 2,Unfair,false,false,false,true,false,true,true,false,,Unfair,false,true,false,true,true,false,false,true,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,false,false,,Fair,false,false,true,true,false,false,true,false,,Very Fair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Unfair,true,true,false,false,false,true,false,false,,Fair,false,true,false,true,false,false,false,false,
191,370,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,unem,not-mentioned,version 2,Unfair,false,true,false,true,false,true,false,false,,Very Unfair,false,true,false,true,true,true,true,false,,Unfair,false,true,false,false,false,true,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Unfair,false,true,false,false,false,true,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,true,true,true,false,,Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,
192,315,40-49,High School,Female,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 1,Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,false,true,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Fair,false,false,false,true,false,false,false,false,
193,476,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 2,Fair,true,true,true,false,false,false,true,false,,Fair,true,true,false,false,false,false,true,false,,Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,true,true,false,true,true,true,,Fair,false,true,true,true,false,false,false,true,,Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,true,false,false,false,true,true,,Unfair,false,false,true,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,
194,350,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,unem,not-mentioned,version 2,Somewhat Unfair,false,true,false,true,false,false,true,false,,Very Unfair,false,true,false,true,true,false,true,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,true,true,false,true,false,false,false,false,,Neutral,false,true,false,true,false,false,false,true,,Very Unfair,false,false,false,false,false,false,true,true,,Somewhat Fair,false,true,false,true,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Neutral,false,true,false,false,false,true,false,false,,Somewhat Fair,true,true,false,true,false,false,false,false,
195,437,18-29,High School,Male,,50000-75000,false,false,false,true,false,,unem,mentioned,version 1,Somewhat Unfair,false,true,false,false,false,true,true,false,,Unfair,false,true,false,true,true,true,true,false,,Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,true,true,true,true,true,true,,Very Fair,true,true,true,false,true,true,true,true,,Very Fair,true,true,true,false,true,true,true,false,,Neutral,true,false,true,false,true,true,true,true,,Somewhat Fair,true,false,false,true,false,true,true,true,,Fair,false,true,false,true,true,true,true,true,
196,561,30-39,High School,Male,,25000-50000,false,false,false,true,false,,unem,mentioned,version 2,Very Unfair,false,true,false,true,false,true,false,false,,Very Unfair,false,true,false,true,true,true,false,false,,Unfair,false,true,false,false,false,true,false,false,,Very Fair,true,true,false,false,false,true,true,false,,Unfair,true,true,false,false,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Very Fair,true,true,false,false,false,true,true,false,,Unfair,false,true,true,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,
197,592,30-39,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,unem,mentioned,version 1,Neutral,false,false,false,false,false,true,true,false,,Very Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Neutral,true,false,false,false,false,true,false,false,,Somewhat Fair,false,false,false,false,false,false,true,false,,Fair,false,false,false,false,true,false,false,false,,Fair,true,true,true,false,true,false,true,false,,Very Unfair,false,false,false,false,false,true,false,false,,Neutral,false,false,false,false,false,true,false,false,,Neutral,false,false,false,true,false,false,false,false,
198,290,30-39,High School,Female,,25000-50000,false,false,false,true,false,,unem,mentioned,version 2,Unfair,false,true,false,true,true,true,true,false,,Very Unfair,false,true,false,true,true,true,true,false,,Fair,false,true,true,false,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,false,true,true,true,true,false,false,false,,Unfair,false,false,true,true,false,false,false,false,,Somewhat Fair,true,true,true,true,true,false,false,false,,Somewhat Unfair,false,true,false,true,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,
199,525,40-49,High School,Female,,50000-75000,false,false,false,true,false,,unem,mentioned,version 1,Unfair,false,false,false,true,true,true,true,false,,Very Unfair,false,true,false,true,true,false,true,false,,Somewhat Fair,false,false,false,false,true,false,false,false,,Fair,true,true,true,false,false,true,true,true,,Very Fair,false,true,false,true,true,true,true,true,,Somewhat Unfair,false,false,false,true,true,false,true,true,,Somewhat Unfair,false,true,false,true,true,true,false,false,,Unfair,false,true,false,true,true,true,true,true,,Somewhat Fair,false,false,false,true,false,false,true,true,,Fair,false,true,true,true,true,false,true,true,
200,364,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,unem,mentioned,version 2,Very Fair,true,true,true,false,true,false,false,false,,Very Fair,true,true,true,false,true,false,false,false,,Very Fair,true,true,false,true,true,false,true,true,,Very Fair,true,true,false,true,true,false,true,true,,Very Fair,false,true,false,true,true,false,true,true,,Very Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,false,true,true,false,true,true,,Neutral,true,false,true,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,The condition: 'reason for wanting a job' seems totally irrelevant,Neutral,false,true,false,true,true,false,false,false,
201,625,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,unem,not-mentioned,version 1,Very Unfair,false,true,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,false,true,false,,Very Unfair,false,true,false,false,false,false,true,false,,Very Fair,true,true,false,true,false,true,true,true,,Unfair,false,true,false,false,true,true,false,false,,Fair,false,false,false,false,true,false,false,false,,Fair,true,true,false,true,false,true,false,true,,Very Unfair,false,true,false,false,false,false,true,false,,Unfair,false,true,false,false,false,false,false,false,,Very Fair,false,true,false,true,true,true,true,false,
202,1315,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,unem,mentioned,version 2,Somewhat Fair,true,false,true,false,false,false,false,false,,Fair,false,false,true,true,false,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Fair,false,true,true,true,false,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Fair,true,true,true,false,false,false,false,false,,Fair,false,false,true,true,true,false,false,false,,Somewhat Fair,false,true,true,false,false,false,false,false,,Fair,false,true,false,true,true,false,false,false,
203,1035,18-29,High School,Male,,<25000,false,false,false,false,true,,unem,mentioned,version 2,Neutral,true,false,false,false,false,true,false,false,,Very Unfair,false,false,false,false,false,false,true,false,,Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Neutral,false,true,false,false,false,false,false,false,,Fair,true,true,true,false,true,false,false,false,,Fair,true,true,true,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Fair,true,true,true,true,false,false,false,false,,Neutral,true,true,true,true,false,false,false,false,
