Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Accuracy,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Accuracy,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Accuracy,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Accuracy,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1969,1251,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Fair,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
1970,1798,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Agree,Agree,Agree,Somewhat Disagree,Agree,,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Fair,Agree,,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Agree,Agree,Agree,,Agree,Agree,Neutral,Neutral
1971,654,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,fairness first,Neutral,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral
1972,535,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Strongly Agree,Neutral,Very Unfair,Agree,Somewhat Agree,Strongly Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,,Agree,Strongly Agree,Neutral,Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Neutral,Unfair,Neutral,Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Fair,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Neutral,Somewhat Unfair,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree
1973,1926,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Unfair,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,,Somewhat Agree,Agree
1974,1133,40-49,High School,Female,,25000-50000,false,false,false,false,false,,hos,properties first,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Neutral,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Unfair,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Unfair,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Fair,Somewhat Agree,Agree,Disagree,,Agree,Neutral,Disagree,Disagree
1975,579,18-29,High School,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Somewhat Fair,Agree,Agree,Strongly Disagree,Neutral,Somewhat Agree,Disagree,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Somewhat Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1976,797,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Neutral,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral
1977,2152,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,hos,properties first,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Unfair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree
1978,2381,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Fair,Somewhat Agree,Neutral,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Fair,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Very Fair,Somewhat Disagree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Fair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Fair,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral
1979,934,40-49,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Unfair,Agree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree
1980,1945,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,hos,properties first,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
