Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,MLBias,Question Order Version,Age,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Age Other,Gender,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Gender Other,Marital and Family,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Marital and Family Other,Employment,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Employment Other,Credit,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Credit Other,Education,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Education Other,Residence,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Residence Other,History of Health,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group,History of Health Other
442,293,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,not-mentioned,version 2,Somewhat Fair,true,false,false,false,false,false,false,false,,Very Unfair,false,false,false,false,false,false,true,true,,Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,true,false,false,true,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,true,false,false,false,false,false,false,true,,Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,
443,396,60-69,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,not-mentioned,version 2,Somewhat Fair,true,true,true,false,true,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,true,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,,Very Unfair,true,false,true,false,false,true,false,false,
444,1185,40-49,High School,Male,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 1,Unfair,false,false,false,true,false,true,true,true,,Very Unfair,false,true,false,true,true,false,false,true,,Very Unfair,false,true,true,false,true,true,true,false,,Very Unfair,false,true,false,false,true,true,true,true,,Very Unfair,false,true,true,false,true,true,true,false,,Very Unfair,false,true,false,false,true,false,false,true,,Unfair,false,true,false,false,false,true,true,false,,Unfair,false,true,false,false,false,true,true,false,
445,263,30-39,Associate or Diploma,Female,,>100000,false,false,false,true,false,,ins,not-mentioned,version 2,Very Fair,false,true,true,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,true,true,false,false,false,false,,Very Fair,false,true,true,true,true,false,false,false,,Unfair,false,true,true,false,true,true,true,false,,Somewhat Unfair,false,true,true,true,false,false,false,false,,Fair,true,true,true,true,true,false,false,false,,Unfair,false,false,true,false,false,false,false,false,
446,997,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 2,Very Fair,false,true,true,false,true,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,I recall seeing studies that spouses push their partners to seek treatment. It would seem that couples have lower health risks just due to nagging one another.,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,true,false,false,,Very Unfair,false,true,false,false,false,true,true,false,,Somewhat Unfair,false,true,false,false,false,false,true,false,,Unfair,false,false,false,true,false,true,true,true,
447,215,30-39,Associate or Diploma,Female,,50000-75000,false,true,false,true,false,,ins,mentioned,version 1,Fair,false,true,false,false,true,false,false,false,,Very Unfair,false,false,false,true,false,true,true,true,,Somewhat Fair,true,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,true,true,false,,Somewhat Fair,false,false,false,true,true,false,false,false,,Very Unfair,false,true,true,false,true,false,true,false,,Somewhat Unfair,true,true,true,false,true,true,true,false,,Fair,false,true,false,false,true,false,false,false,
448,249,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,not-mentioned,version 2,Fair,false,false,false,false,true,false,false,false,,Unfair,false,false,false,false,true,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Unfair,false,false,false,false,true,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Fair,false,false,false,false,true,false,false,false,
449,572,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,mentioned,version 1,Somewhat Fair,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Neutral,false,false,true,false,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,,Neutral,false,false,false,true,false,false,false,false,
450,1556,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,not-mentioned,version 2,Neutral,false,true,true,true,false,false,false,false,,Unfair,false,true,false,true,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Unfair,false,false,true,true,true,false,false,false,,Very Unfair,true,false,true,true,true,false,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,,Very Unfair,false,false,false,false,true,false,false,false,
451,380,60-69,Bachelor,Female,,<25000,false,false,false,true,false,,ins,not-mentioned,version 2,Fair,true,true,false,false,true,false,false,false,,Neutral,true,false,true,false,false,false,false,false,,Very Unfair,false,false,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,true,false,false,,Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Unfair,false,false,true,false,false,true,false,false,
452,1048,70 up,High School,Male,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 2,Somewhat Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,,Somewhat Fair,true,false,false,false,false,false,false,false,,Fair,true,false,false,false,false,false,false,false,
453,152,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 1,Fair,true,true,true,false,true,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,true,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,,Unfair,false,true,false,false,false,true,true,false,,Somewhat Unfair,false,true,false,false,false,true,true,false,,Unfair,false,true,false,false,false,true,true,false,,Somewhat Fair,true,true,false,false,false,false,false,false,
454,1522,30-39,High School,Female,,25000-50000,false,false,false,false,true,,ins,mentioned,version 1,Fair,false,false,false,false,true,false,false,false,,Somewhat Fair,false,false,false,false,false,false,false,false,,Unfair,false,false,true,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Unfair,false,true,false,false,false,false,false,false,,Fair,false,false,true,false,false,false,false,false,
455,377,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 2,Somewhat Unfair,false,false,false,true,false,false,true,false,,Somewhat Unfair,true,true,false,true,false,false,true,true,,Somewhat Unfair,false,false,false,false,false,false,true,true,,Somewhat Unfair,true,true,false,false,true,true,true,false,,Unfair,false,true,false,true,false,false,true,true,,Somewhat Unfair,false,false,false,false,false,false,true,false,,Somewhat Unfair,false,false,false,false,true,false,false,false,,Very Unfair,false,false,true,false,false,false,true,false,
456,1049,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,ins,mentioned,version 2,Very Fair,true,true,true,false,true,false,false,false,,Somewhat Unfair,true,false,true,false,false,false,true,false,,Fair,true,true,true,true,true,false,false,false,,Fair,true,true,false,true,true,false,false,false,,Very Unfair,false,true,false,false,false,true,false,false,,Very Unfair,false,true,false,false,true,false,true,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Very Fair,false,true,false,false,true,false,false,false,
457,738,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,ins,not-mentioned,version 2,Somewhat Fair,true,true,true,false,false,false,false,false,,Somewhat Unfair,false,false,false,false,false,false,true,true,,Unfair,false,true,true,true,false,false,false,true,,Very Fair,true,true,true,true,true,false,true,false,,Somewhat Fair,false,true,false,true,true,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,true,true,,Somewhat Unfair,false,true,false,true,false,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,
458,295,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,ins,not-mentioned,version 2,Somewhat Fair,false,false,false,false,true,false,false,false,,Unfair,false,false,false,false,false,true,true,false,,Unfair,false,false,false,false,false,true,true,false,,Somewhat Fair,true,false,false,false,true,false,false,false,,Unfair,false,false,false,false,false,false,true,true,,Unfair,false,false,false,false,false,true,false,true,,Fair,true,true,false,false,true,false,false,false,,Very Unfair,false,false,true,false,false,false,true,false,
459,824,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,ins,mentioned,version 1,Fair,true,false,false,false,true,false,false,false,,Fair,false,false,false,true,true,false,false,false,,Fair,false,true,true,false,false,false,false,false,,Very Fair,false,false,false,true,false,true,true,false,,Fair,false,false,false,true,true,false,false,false,,Fair,false,true,false,false,false,true,false,false,,Very Fair,false,true,false,false,false,true,false,false,,Somewhat Fair,false,true,false,true,true,false,false,false,
460,433,40-49,High School,Male,,<25000,false,false,false,true,false,,ins,mentioned,version 2,Somewhat Fair,true,true,true,false,true,false,false,false,,Very Unfair,false,true,false,true,true,false,true,false,,Fair,true,true,true,false,false,false,true,true,,Fair,true,false,true,false,false,false,false,false,,Very Unfair,false,true,true,false,true,true,false,false,,Very Unfair,false,true,true,false,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,
461,1009,30-39,Less than high School,Male,,<25000,false,false,false,false,true,,ins,mentioned,version 1,Somewhat Fair,true,false,false,false,false,false,false,false,,Unfair,false,true,false,true,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Fair,true,true,false,true,false,false,false,false,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Neutral,false,false,true,false,false,false,false,false,,Neutral,false,false,false,false,true,false,false,false,
462,321,30-39,High School,Male,,>100000,false,false,false,true,false,,ins,not-mentioned,version 2,Very Fair,false,true,true,false,true,false,true,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Fair,true,true,false,true,false,false,false,false,,Somewhat Fair,false,false,true,false,false,false,true,false,,Unfair,false,true,false,false,false,true,true,true,,Very Fair,false,true,false,true,true,false,false,false,
463,1008,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,ins,not-mentioned,version 1,Very Unfair,false,false,false,false,false,false,false,true,,Unfair,true,false,false,false,false,false,false,true,,Fair,false,false,false,true,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Fair,true,false,false,false,true,false,false,false,,Neutral,false,false,false,false,true,false,false,false,,Fair,true,true,false,false,true,false,false,false,
464,1638,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 1,Very Unfair,false,false,true,true,false,false,true,true,,Very Unfair,false,true,true,true,false,true,true,true,,Very Unfair,false,true,false,false,true,false,true,false,,Unfair,false,true,true,false,false,true,true,true,,Unfair,false,true,true,false,true,false,true,true,,Very Unfair,true,true,true,true,true,true,true,true,,Very Unfair,true,true,true,false,false,false,true,true,,Very Unfair,false,false,true,false,false,true,true,true,
465,906,30-39,High School,Male,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 1,Neutral,true,false,true,false,true,false,false,false,,Very Unfair,true,true,false,true,true,false,true,false,,Fair,true,false,true,false,false,false,false,false,,Neutral,true,false,true,false,true,false,false,false,,Very Unfair,false,true,false,false,false,true,true,false,,Very Unfair,true,true,false,false,true,false,false,false,,Very Unfair,true,true,false,false,true,false,false,false,,Neutral,true,false,false,false,true,false,false,false,
466,392,18-29,Bachelor,Male,,50000-75000,false,false,true,false,true,,ins,mentioned,version 1,Very Fair,false,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,Very Unfair,true,true,false,false,false,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,true,false,false,false,,Fair,false,false,false,false,true,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,
467,698,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,ins,mentioned,version 1,Neutral,true,true,false,false,true,false,false,false,,Very Unfair,false,true,true,true,false,true,true,false,,Somewhat Fair,true,true,false,true,false,false,false,false,,Somewhat Unfair,true,true,true,false,true,false,false,false,,Neutral,true,true,false,true,false,true,false,false,,Unfair,false,true,true,false,false,false,false,false,,Fair,true,true,false,false,true,false,false,false,,Very Fair,true,false,false,false,true,false,false,false,
468,325,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,ins,not-mentioned,version 1,Very Fair,true,true,true,false,true,false,false,false,,Very Fair,true,true,true,false,false,false,false,false,,Somewhat Fair,true,true,false,true,false,false,false,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,type of job yes but status is unreliable,Somewhat Fair,true,false,false,true,false,false,false,false,,Somewhat Fair,true,false,false,true,false,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,
469,349,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,ins,mentioned,version 1,Unfair,false,false,false,false,false,true,true,true,,Unfair,false,true,true,false,false,false,true,true,,Fair,true,true,false,true,false,false,false,false,,Fair,false,true,false,true,false,false,false,false,,Fair,true,true,false,true,true,false,false,false,,Unfair,false,true,false,false,false,true,true,true,,Fair,true,true,true,false,false,false,false,false,,Very Unfair,false,false,true,false,false,true,true,false,
470,986,30-39,High School,Male,,>100000,false,false,false,false,true,,ins,mentioned,version 1,Very Unfair,false,false,false,true,false,true,true,true,,Very Unfair,false,true,false,false,true,true,true,true,,Very Unfair,false,true,true,false,true,false,false,false,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,,Very Unfair,false,false,false,false,false,true,true,true,,Very Fair,true,true,true,true,true,false,false,false,,Very Fair,true,true,false,true,true,false,false,false,
471,766,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,mentioned,version 2,Neutral,true,true,false,false,true,false,false,false,,Very Unfair,false,false,true,true,false,true,true,true,,Somewhat Unfair,false,true,true,false,false,false,false,false,,Neutral,true,true,true,false,true,false,false,false,,Neutral,true,false,false,true,true,false,false,false,,Very Unfair,false,true,false,false,false,true,true,true,,Somewhat Unfair,false,false,false,false,false,true,true,true,,Very Unfair,false,false,true,true,false,true,false,false,
472,626,60-69,High School,Female,,<25000,false,false,false,true,false,,ins,mentioned,version 1,Very Fair,true,true,true,false,true,false,false,false,,Fair,true,false,true,false,true,false,false,false,,Somewhat Fair,false,false,true,true,true,false,false,false,,Somewhat Fair,true,false,true,false,true,false,true,false,,Fair,false,true,true,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,true,false,,Somewhat Fair,true,false,true,false,false,false,false,false,,Fair,false,true,false,false,true,false,false,false,
473,1197,30-39,High School,Female,,<25000,false,false,true,false,false,,ins,mentioned,version 2,Very Fair,true,true,false,true,true,false,false,false,,Very Unfair,false,false,false,true,false,false,false,false,,Very Fair,true,false,false,false,false,false,false,false,,Very Unfair,false,false,true,false,false,false,false,false,,Very Unfair,true,false,true,false,false,false,false,false,,Very Unfair,false,true,true,false,false,false,false,false,,Very Unfair,true,false,false,true,true,false,false,false,,Very Unfair,false,false,true,true,false,false,false,false,
475,669,50-59,Bachelor,Male,,50000-75000,false,true,false,false,false,,ins,not-mentioned,version 2,Somewhat Fair,true,true,false,true,true,true,true,false,,Unfair,false,false,false,false,false,false,true,false,,Unfair,false,false,true,false,false,false,true,false,,Somewhat Fair,true,true,false,true,false,false,false,false,,Fair,false,true,true,false,false,true,false,false,,Somewhat Fair,true,true,true,true,false,false,true,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,false,false,false,false,
476,173,40-49,High School,Male,,>100000,false,false,false,true,false,,ins,mentioned,version 1,Fair,false,true,false,false,true,false,false,false,,Unfair,false,true,false,false,true,true,true,true,,Somewhat Fair,false,true,false,true,true,false,false,false,,Somewhat Unfair,false,true,false,false,true,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Fair,false,true,false,false,true,false,false,false,,,false,false,false,false,false,false,false,false,
477,434,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,not-mentioned,version 1,Neutral,false,true,false,false,false,false,false,false,,Very Unfair,false,false,false,true,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Neutral,true,false,false,false,false,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,false,false,
478,574,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,mentioned,version 1,Very Fair,true,true,false,false,true,false,true,true,,Fair,true,false,false,false,false,true,false,false,,Unfair,false,true,false,false,true,false,false,false,,Somewhat Unfair,false,true,true,false,true,false,false,false,,Fair,true,false,false,true,false,true,true,true,,Very Unfair,false,true,true,false,true,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,true,false,,Very Fair,true,true,false,false,true,false,true,false,
479,172,30-39,Graduate,Female,,75000-100000,false,false,false,true,false,,ins,mentioned,version 2,Somewhat Fair,false,false,false,false,false,true,true,false,,Very Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,false,false,false,false,,Very Fair,true,true,false,false,true,false,false,false,,Somewhat Fair,true,true,false,true,false,false,false,false,,Neutral,true,false,false,false,true,false,false,false,,Unfair,false,true,false,false,false,false,false,false,
480,1403,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,ins,mentioned,version 1,Fair,true,true,true,false,true,false,false,false,,Unfair,true,false,false,true,true,true,true,true,,Fair,false,true,true,true,false,false,false,false,,Unfair,false,true,false,false,true,true,true,true,,Unfair,true,false,true,false,true,true,true,true,,Unfair,false,true,false,false,true,false,true,true,,Unfair,false,true,false,false,false,true,true,true,,Unfair,false,true,true,true,false,false,true,true,
481,1645,30-39,High School,Female,,<25000,false,false,false,true,false,,ins,mentioned,version 1,Somewhat Unfair,false,false,false,true,false,false,true,false,,Unfair,false,true,false,true,false,false,true,false,,Unfair,false,true,true,false,true,false,false,false,,Somewhat Unfair,false,false,false,false,true,false,true,false,,Somewhat Unfair,true,false,false,false,false,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Unfair,false,true,false,false,true,false,false,false,,Somewhat Unfair,false,false,false,true,false,false,true,false,
482,218,50-59,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,ins,mentioned,version 2,Somewhat Unfair,true,true,true,true,true,true,true,true,,Unfair,true,true,true,true,true,true,true,true,,Neutral,true,true,true,true,true,true,true,true,,Neutral,true,true,true,false,true,true,true,true,,Unfair,true,true,true,true,true,true,true,true,,Unfair,true,true,true,true,true,true,true,true,,Unfair,true,true,true,true,true,true,true,true,,Somewhat Unfair,true,true,true,true,true,true,true,true,
483,379,40-49,Bachelor,Male,,<25000,false,false,true,false,false,,ins,mentioned,version 1,Very Unfair,false,false,false,false,false,false,false,true,,Very Unfair,false,false,false,false,false,false,false,true,,Somewhat Fair,true,false,false,false,false,false,true,false,,Somewhat Fair,false,false,false,true,false,false,false,false,,Fair,true,false,false,true,true,false,false,false,,Unfair,false,false,false,false,false,false,false,true,,Unfair,false,false,false,false,false,false,false,true,,Very Fair,false,true,false,false,true,false,false,false,
484,643,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,ins,mentioned,version 1,Somewhat Fair,true,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Somewhat Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,false,true,false,false,true,false,false,false,,Very Unfair,false,true,false,false,false,false,false,false,,Somewhat Fair,true,true,false,false,true,false,false,false,,Somewhat Unfair,false,false,false,false,false,false,true,true,
