Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Loan Amount Reliability,Loan Amount Accuracy,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income,Income Reliability,Income Accuracy,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family,Marital and Family Reliability,Marital and Family Accuracy,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents,Dependents Reliability,Dependents Accuracy,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education,Education Reliability,Education Accuracy,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment,Employment Reliability,Employment Accuracy,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit,Credit Reliability,Credit Accuracy,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property,Property Reliability,Property Accuracy,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
2065,1751,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Fair,Somewhat Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Unfair,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Very Unfair,Neutral,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Unfair,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Very Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Fair,Agree,Agree,Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral
2066,1838,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,loan,fairness first,Somewhat Fair,Strongly Agree,Somewhat Agree,Disagree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Agree,Disagree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Very Fair,Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Strongly Agree
2067,574,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Fair,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Unfair,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Unfair,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Fair,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neutral,Fair,Agree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Neutral,Very Fair,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree
2068,339,18-29,Graduate,Female,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2069,334,18-29,Graduate,Male,,<25000,false,false,false,true,false,,loan,fairness first,Fair,Strongly Agree,Agree,Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Very Unfair,Agree,Somewhat Disagree,Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree
2070,417,30-39,Graduate,Male,,25000-50000,false,false,true,false,false,,loan,fairness first,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Fair,Somewhat Agree,Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Agree,Very Fair,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Very Fair,Somewhat Agree,Strongly Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Fair,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Strongly Agree,Very Fair,Neutral,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree
2071,380,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Fair,Somewhat Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Very Fair,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree
2072,738,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,,Neutral,Somewhat Disagree,Neutral,Strongly Agree,Very Fair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Unfair,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Agree,Strongly Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree
2073,1505,50-59,High School,Female,,25000-50000,false,false,false,true,true,,loan,properties first,Very Fair,Agree,Agree,Disagree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Very Fair,Somewhat Disagree,Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Unfair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Unfair,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Very Fair,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Neutral
2074,616,18-29,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
2075,749,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Agree,Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2076,1763,18-29,Graduate,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Agree,Agree,Somewhat Agree
2077,2483,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,properties first,Fair,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Disagree,Agree,Unfair,Agree,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Fair,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Agree,Neutral,Very Fair,Strongly Agree,Strongly Agree,,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Disagree,Fair,Agree,Somewhat Disagree,Strongly Agree,Neutral,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Neutral,Fair,Somewhat Agree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Fair,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree
2078,805,18-29,Bachelor,Female,,25000-50000,false,true,false,true,false,,loan,properties first,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Agree
2079,1459,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Agree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Very Unfair,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Agree,Somewhat Disagree,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Fair,Agree,Agree,Somewhat Agree,Agree,Disagree,,Strongly Disagree,Somewhat Agree,Fair,Agree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Disagree,Disagree
2080,1310,18-29,Bachelor,Male,,25000-50000,false,false,false,false,true,,loan,properties first,,Agree,Neutral,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Fair,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Very Fair,Agree,Somewhat Agree,Strongly Agree,,Somewhat Agree,Neutral,Somewhat Agree,Agree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Very Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
2081,1762,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Unfair,Neutral,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Agree,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Unfair,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Disagree,Neutral
2082,1865,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Fair,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Agree,Agree,Neutral,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Fair,Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Unfair,Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Unfair,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Fair,Agree,Agree,Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Agree,Agree,Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Agree,Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree
2083,1016,30-39,Bachelor,Female,,75000-100000,false,false,true,false,false,,loan,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Agree,Somewhat Agree,Very Unfair,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Agree,Disagree,Somewhat Fair,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Fair,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Very Unfair,Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
2084,769,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,properties first,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Agree,Agree,Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree
