Domain,Feature,Reliability,Relevance,Privacy,Volitionality,Outcome,Cycle,Disparity,By Group,Avg 3 Point Consensus (1-NSE)
cps,Child Welfare,0.37783351300350254,0.4573610283271208,0.11572229756578811,0.15381767915076083,0.1586559395365844,0.07579028410372612,0.0411934583238881,0.06291114741556336,0.18041066842836684
cps,Parent Demographics,0.39368660534750843,0.20505347954969766,0.06727840362831283,0.20858119491108595,0.057228769202503305,0.11388742737061264,0.29528057853010903,0.21038211308126542,0.19392232145263688
cps,Parent Welfare,0.39544084353230036,0.23242613474007212,0.10227966264731636,0.10637547943388759,0.1612635082132029,0.07998146403833795,0.16366045166972276,0.09144650474398741,0.16660925612735344
cps,Perp Demographics,0.3106676113394864,0.21781029334997282,0.06603393376948574,0.09545886115290747,0.0426812147293375,0.1805516281271965,0.27879032768753953,0.16122053214503562,0.16915180028762022
cps,Perp Welfare,0.4428191892742649,0.2848714259153342,0.07180738657004226,0.12102260292369593,0.2213917717337881,0.005980763346352669,0.09210632946483077,0.08990363871981033,0.1662378884935149
cps,All CPS,0.44587616666906227,0.5205941437916204,0.09545886115290747,0.1963798789984117,0.3690349417895662,0.0820804526267217,0.10531061510868789,0.12212830342304437,0.24210792044500273
cps,All Health,0.3172347034755104,0.6529107749963239,0.11348339267369478,0.07927801133060286,0.3793022316258169,0.13161555320467666,0.16828501547580554,0.04889653242990777,0.23637577690154238
hos,Age,0.6785108059384162,0.6470989494478336,0.13311597505596418,0.43231269225026947,0.22006971533310082,0.07966874850842864,0.09442635363479224,0.09828975999372724,0.29793662502031654
hos,Gender,0.5838729195024603,0.33790324696108853,0.09828975999372724,0.056528224792599335,0.08845085453932333,0.11572229756578811,0.12196508876362144,0.029031261868299074,0.1789704567483634
hos,Race,0.2636748365209576,0.09603456276044897,0.12020515640597562,0.5283265821844847,0.11454691679372264,0.035823006582520245,0.20529840446816217,0.08807911327893203,0.18149857237440048
hos,Residence,0.3239283715196227,0.10997380181974703,0.22184433770666812,0.48960651853840154,0.08733990445078199,0.04931287575374166,0.11674656700775865,0.048196071964476395,0.18086855609514974
hos,Hospital Treated,0.7956847007534339,0.4002387587303041,0.12384176288214455,0.10746762340650295,0.09990936851666499,0.10910076812028446,0.15451359854801894,0.1805516281271965,0.24641352613556877
hos,Admission,0.8558084851537223,0.7140728998481758,0.24811779902193654,0.10873524944725987,0.09073387613676265,0.10638341686809716,0.1750038309188594,0.1705204511600319,0.3086720010693556
hos,Number of Discharges,0.7609838749896014,0.751285374725049,0.20893939761911828,0.11719833055761297,0.09240779207457772,0.041431975003247135,0.19407551621828056,0.16747475238104648,0.2917246266960667
hos,History of Health,0.6130016346122975,0.8343499605505484,0.32278543196891496,0.23620176966502138,0.57818280060544,0.07852059652317656,0.1572924879409866,0.07235976632333174,0.36158680602371474
loan,Loan Amount,0.8359537608280654,0.8571505961068103,0.05840053878720475,0.45626538342277545,0.5071796294262284,0.0439463511155157,0.1781124393600264,0.19992064115305053,0.3921161675249596
loan,Income,0.5732574709713556,0.8584654461900396,0.07811179931146917,0.2711734619580036,0.7167324153506625,0.023593754347464024,0.06466027883892633,0.10714931019636731,0.336642992145536
loan,Age,0.5913300371705785,0.20241356878299088,0.10894040264432692,0.47034569924862935,0.11241181747764994,0.048311399723935944,0.2035044136410783,0.08134234798715734,0.22732496083454337
loan,Gender,0.2680345636184003,0.4745263403361759,0.07055613319569654,0.10529958096191327,0.4982229879793999,0.06208130950873858,0.3397603288110723,0.12773515059905438,0.2432770493763064
loan,Marital and Family,0.39023555718990766,0.1329430289316358,0.02382510484361755,0.35058944953836224,0.019261604754550188,0.019930841474323557,0.06110979656493698,0.033466184238755026,0.12892019594201112
loan,Dependents,0.45626538342277545,0.19407551621828056,0.0371277049111608,0.07407048079459877,0.07021963304637024,0.010465414816991259,0.05442901081935381,0.0439463511155157,0.11757493689313082
loan,Education,0.27347913577848815,0.12469598707179641,0.08977558430624055,0.25328125849451055,0.17140702437876554,0.03949680189782845,0.09647475089435675,0.035218616437061256,0.13547864490738099
loan,Employment,0.6197767725069165,0.7536156739228684,0.2143263975570573,0.42555692781935717,0.5305857375948808,0.03133840373596608,0.13213206729150306,0.10844016332926798,0.35197151796972714
loan,Credit,0.6814345259727426,0.8343499605505486,0.18429170394621563,0.27146875006394033,0.09455559097598265,0.03949680189782845,0.1196534521934206,0.12840090399450943,0.2942064611993985
loan,Property,0.4332389066348299,0.6785108059384162,0.12706033374797554,0.18997509473319207,0.07443526207941165,0.01704236326916675,0.05509332294532143,0.07708861402541334,0.20655558792171586
ins,Age,0.6972540377851636,0.5725500364640674,0.0877016700245069,0.5537158338813613,0.5804738173907041,0.010100306966310924,0.3106676113394864,0.027522050878853954,0.35499817059130684
ins,Gender,0.4191230096940374,0.11734411274845336,0.022787083664962404,0.14060252588723066,0.07998146403833795,0.022266670546624456,0.29215581697339055,0.11947108026962483,0.15171647047783268
ins,Marital and Family,0.2563499530511456,0.06001880024506556,0.036755318947022,0.32642525414318124,0.09562872892944163,0.0526465976812609,0.02077986135028742,0.01968549507895323,0.1085362511782947
ins,Employment,0.3538843808815143,0.15665734595707748,0.07148113191363714,0.2377248912934291,0.16850226052318662,0.018545862211781006,0.09545886115290747,0.049700268107608414,0.1439943752551427
ins,Credit,0.3780233750433223,0.23074476267918287,0.09886706783761434,0.14146463705308387,0.1275712530150669,0.22448310535515725,0.06986261871748356,0.03241170049829667,0.16292856502490097
ins,Education,0.2563499530511456,0.12201380673418916,0.015440877581204604,0.25468842405217385,0.05777907986718234,0.02142857211032534,0.1440859949546961,0.02020507830862639,0.11149897333244292
ins,Residence,0.37783351300350254,0.09452371187111275,0.06840362462570238,0.3408076608578279,0.09542629946860692,0.022440782937643622,0.14499541316547182,0.09240779207457772,0.15460484975055572
ins,History of Health,0.12384176288214455,0.3587526873695698,0.4197541101908633,0.1134833926736949,0.4931874922567041,0.19990072740382236,0.22891676080031598,0.16122053214503562,0.26238218321526885
