Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Work History,Work History Reliability,Work History Privacy,Work History Volitionality,Work History Causes Outcome,Work History Causes Cycle,Work History Causes Disparity,Work History Caused by Group,Skills,Skills Reliability,Skills Privacy,Skills Volitionality,Skills Causes Outcome,Skills Causes Cycle,Skills Causes Disparity,Skills Caused by Group,Disability,Disability Reliability,Disability Privacy,Disability Volitionality,Disability Causes Outcome,Disability Causes Cycle,Disability Causes Disparity,Disability Caused by Group,Time Unemployed,Time Unemployed Reliability,Time Unemployed Privacy,Time Unemployed Volitionality,Time Unemployed Causes Outcome,Time Unemployed Causes Cycle,Time Unemployed Causes Disparity,Time Unemployed Caused by Group,Residence,Residence Reliability,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Reason,Reason Reliability,Reason Privacy,Reason Volitionality,Reason Causes Outcome,Reason Causes Cycle,Reason Causes Disparity,Reason Caused by Group,Initiative,Initiative Reliability,Initiative Privacy,Initiative Volitionality,Initiative Causes Outcome,Initiative Causes Cycle,Initiative Causes Disparity,Initiative Caused by Group
1182,1837,60-69,High School,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Very Unfair,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Unfair,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Agree,Somewhat Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Agree,Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
1186,1545,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,unem,fairness first,Very Unfair,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Unfair,Somewhat Agree,Agree,Somewhat Agree,Strongly Disagree,Neutral,Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Fair,Neutral,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Fair,Strongly Agree,Disagree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Agree,Fair,Agree,Somewhat Disagree,Strongly Agree,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Very Unfair,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Very Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Very Unfair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Very Fair,Somewhat Agree,Disagree,Strongly Agree,Agree,Somewhat Agree,Disagree,Agree
1187,714,40-49,Graduate,Female,,25000-50000,false,false,false,true,false,,unem,fairness first,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Very Fair,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Fair,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Fair,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Neutral
1190,1760,60-69,Graduate,Female,,75000-100000,false,false,false,true,false,,unem,fairness first,Somewhat Fair,Agree,Agree,,Disagree,Agree,Agree,Agree,Somewhat Unfair,Strongly Agree,Neutral,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree
1192,1414,18-29,Associate or Diploma,Female,,50000-75000,false,false,true,true,false,,unem,fairness first,Very Fair,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Fair,Somewhat Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Neutral,Fair,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral
1193,2089,30-39,High School,Female,,50000-75000,false,false,false,true,false,,unem,properties first,Very Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,Somewhat Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Agree,Agree,Somewhat Unfair,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree
1194,2083,30-39,Bachelor,Female,,>100000,false,false,true,false,false,,unem,properties first,Unfair,Disagree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Very Unfair,Disagree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Very Fair,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Agree,Somewhat Unfair,Strongly Agree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Unfair,Somewhat Disagree,Strongly Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Agree,Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1200,3449,30-39,Graduate,Female,,75000-100000,false,true,false,false,false,,unem,fairness first,Neutral,Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Fair,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Disagree,Neutral,Neutral,Neutral,Somewhat Disagree,Neutral
1201,1813,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,unem,fairness first,Neutral,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Very Unfair,Strongly Disagree,Disagree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Somewhat Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Agree,Strongly Agree,Somewhat Agree,Neutral,Very Unfair,Agree,Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Very Unfair,Strongly Disagree,Agree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Neutral,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree
1202,2876,30-39,Bachelor,Female,,<25000,false,false,false,true,false,,unem,fairness first,Somewhat Unfair,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Very Unfair,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Somewhat Unfair,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Disagree,Somewhat Agree,Disagree,Agree,Agree,Agree,Agree,Somewhat Fair,Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Disagree,Unfair,Disagree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Agree,Somewhat Fair,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Somewhat Fair,Disagree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Disagree
1205,2524,18-29,Associate or Diploma,Female,,25000-50000,false,false,true,false,false,,unem,fairness first,Somewhat Unfair,Neutral,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,,Neutral,Somewhat Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Fair,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Fair,Neutral,Somewhat Agree,Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree
