Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race Reliability,Race Relevance,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence Reliability,Residence Relevance,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated Reliability,Hospital Treated Relevance,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission Reliability,Admission Relevance,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges Reliability,Number of Discharges Relevance,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health Reliability,History of Health Relevance,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
780,1625,40-49,Associate or Diploma,Male,,<25000,false,true,false,false,false,,hos,properties first,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Somewhat Disagree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Strongly Agree,Agree
781,3574,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Neutral,Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Neutral
782,759,18-29,Associate or Diploma,Male,,>100000,false,false,false,true,false,,hos,fairness first,Agree,Agree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree
783,759,60-69,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
784,2045,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree
785,797,30-39,High School,Male,,<25000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Agree,Agree,Somewhat Disagree,Strongly Disagree,Disagree,,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
786,547,30-39,Graduate,Female,,25000-50000,false,false,false,true,false,,hos,fairness first,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral
787,723,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,hos,fairness first,Somewhat Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree
788,453,40-49,Associate or Diploma,Female,,<25000,false,false,false,true,false,,hos,fairness first,Strongly Agree,Somewhat Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Strongly Disagree
789,399,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,hos,properties first,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral
790,912,18-29,High School,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree
791,337,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
792,464,30-39,Associate or Diploma,Female,,50000-75000,false,true,false,false,false,,hos,fairness first,Neutral,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Neutral
793,505,40-49,Bachelor,Male,,25000-50000,false,true,false,false,false,,hos,properties first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Agree,Somewhat Agree,Somewhat Agree
794,2057,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,hos,properties first,Somewhat Agree,Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree
