Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Age,Age Reliability,Age Accuracy,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender,Gender Reliability,Gender Accuracy,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Race,Race Reliability,Race Accuracy,Race Privacy,Race Volitionality,Race Causes Outcome,Race Causes Cycle,Race Causes Disparity,Race Caused by Group,Residence,Residence Reliability,Residence Accuracy,Residence Privacy,Residence Volitionality,Residence Causes Outcome,Residence Causes Cycle,Residence Causes Disparity,Residence Caused by Group,Hospital Treated,Hospital Treated Reliability,Hospital Treated Accuracy,Hospital Treated Privacy,Hospital Treated Volitionality,Hospital Treated Causes Outcome,Hospital Treated Causes Cycle,Hospital Treated Causes Disparity,Hospital Treated Caused by Group,Admission,Admission Reliability,Admission Accuracy,Admission Privacy,Admission Volitionality,Admission Causes Outcome,Admission Causes Cycle,Admission Causes Disparity,Admission Caused by Group,Number of Discharges,Number of Discharges Reliability,Number of Discharges Accuracy,Number of Discharges Privacy,Number of Discharges Volitionality,Number of Discharges Causes Outcome,Number of Discharges Causes Cycle,Number of Discharges Causes Disparity,Number of Discharges Caused by Group,History of Health,History of Health Reliability,History of Health Accuracy,History of Health Privacy,History of Health Volitionality,History of Health Causes Outcome,History of Health Causes Cycle,History of Health Causes Disparity,History of Health Caused by Group
1984,2412,30-39,High School,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Unfair,Strongly Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1991,665,18-29,Bachelor,Female,,50000-75000,false,true,false,false,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Strongly Disagree,Disagree,Strongly Disagree,Fair,Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Disagree,Disagree,Fair,Strongly Agree,Neutral,Somewhat Disagree,Strongly Agree,Neutral,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Disagree,Fair,Agree,Strongly Agree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Very Fair,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree
1995,366,30-39,High School,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Very Unfair,Strongly Disagree,,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Agree,Very Unfair,Somewhat Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1998,1979,18-29,Bachelor,Female,,<25000,false,false,true,false,false,,hos,properties first,Somewhat Unfair,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Somewhat Agree,Strongly Agree,Agree,Very Unfair,Strongly Disagree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Somewhat Agree,Neutral,Neutral,Somewhat Unfair,Disagree,Strongly Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral
1999,1036,30-39,High School,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Somewhat Fair,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Somewhat Disagree,Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Very Fair,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Fair,Strongly Agree,Strongly Agree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral
2000,1573,18-29,Bachelor,Female,,50000-75000,false,false,false,true,false,,hos,fairness first,Very Fair,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,,Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Unfair,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,,Strongly Agree,Strongly Agree,Agree,Somewhat Unfair,Neutral,Disagree,,Somewhat Agree,Somewhat Disagree,Agree,Agree,Strongly Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Very Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree
2002,945,40-49,High School,Female,,>100000,false,false,false,true,false,,hos,fairness first,Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Strongly Disagree,,Strongly Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Unfair,Strongly Agree,Disagree,Strongly Disagree,Strongly Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
2004,1678,18-29,High School,Female,,75000-100000,false,false,false,true,false,,hos,fairness first,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Strongly Disagree,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Fair,Strongly Agree,Strongly Agree,Neutral,Agree,,Neutral,Neutral,Neutral,Fair,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral
2008,1586,30-39,Bachelor,Female,,25000-50000,false,false,false,false,false,hebrew american,hos,properties first,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree
2015,1876,30-39,Bachelor,Female,,25000-50000,false,false,false,false,true,,hos,fairness first,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,,Agree,Strongly Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Very Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Agree
2018,423,40-49,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,hos,properties first,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Very Unfair,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Agree,Somewhat Agree,Very Unfair,Neutral,Somewhat Disagree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Agree,Very Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Neutral,Somewhat Disagree,Agree,Disagree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Agree,Agree,Very Unfair,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree
2022,381,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,hos,properties first,Very Fair,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Disagree,Somewhat Agree,Disagree,Disagree,Agree,Agree,Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Very Fair,Agree,Agree,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree
