Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount,Income,Age,Gender,Marital and Family,Dependents,Education,Employment,Credit,Property
865,514,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Fair,Very Unfair,Very Unfair,Unfair,Neutral,Unfair,Fair,Somewhat Fair,Neutral
866,616,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Very Unfair,Very Unfair,Unfair,Somewhat Fair,Neutral,Very Fair,Very Fair,Somewhat Fair
867,627,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Fair,Somewhat Fair,Neutral,Neutral,Fair,Somewhat Unfair,Very Fair,Fair,Fair
868,1751,30-39,Graduate,Female,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair
869,847,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Neutral,Very Unfair,Fair,Fair,Somewhat Fair
870,419,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Fair,Somewhat Unfair,Fair,Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair
871,551,18-29,Bachelor,Female,,>100000,false,false,true,false,false,,loan,fairness first,Very Fair,Very Fair,Neutral,Unfair,Neutral,Somewhat Fair,Neutral,Fair,Fair,Very Fair
872,1735,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Very Unfair,Fair,Neutral,Neutral,Very Fair,Very Fair,Very Fair
873,1288,40-49,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Neutral,Somewhat Unfair,Neutral,Neutral,Unfair,Very Fair,Very Fair,Very Fair
874,940,30-39,Graduate,Male,,<25000,false,true,false,false,false,,loan,fairness first,Neutral,Very Fair,Somewhat Unfair,Very Unfair,Fair,Somewhat Fair,Unfair,Very Fair,Very Fair,Very Fair
875,1649,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Somewhat Fair,Unfair,Fair,Somewhat Fair,Very Unfair,Very Fair,Very Fair,Somewhat Fair
876,773,18-29,Graduate,Female,,75000-100000,false,true,false,false,false,,loan,properties first,Fair,Very Fair,Somewhat Fair,Very Unfair,Very Fair,Neutral,Somewhat Unfair,Very Fair,Very Fair,Fair
877,2462,50-59,Bachelor,Female,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Unfair,Unfair,Unfair,Very Fair,Unfair,Very Fair,Very Fair,Very Fair
878,763,70 up,Graduate,,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Very Unfair,Very Fair,Very Fair,Fair,,Very Fair,Fair
879,462,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Unfair,Neutral,Somewhat Unfair,Very Fair,Very Fair,Fair
880,525,18-29,Bachelor,Male,,<25000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Neutral,Neutral,Somewhat Fair,Fair,Somewhat Fair
881,584,40-49,High School,Female,,<25000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Somewhat Unfair,Very Unfair,Fair,Somewhat Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair
882,1325,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Somewhat Fair,Unfair,Somewhat Fair,Somewhat Fair,Fair,Very Fair,Very Fair,Fair
883,428,50-59,Graduate,Female,,>100000,false,true,false,false,false,,loan,fairness first,Fair,Very Fair,Very Unfair,Very Unfair,Neutral,Very Fair,Very Fair,Very Fair,Fair,Very Fair
884,402,50-59,High School,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Neutral,Very Fair,Fair,Neutral
885,581,30-39,Graduate,Male,,<25000,false,true,false,false,false,,loan,fairness first,Somewhat Fair,Very Fair,Fair,Neutral,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair
886,1850,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Neutral,Somewhat Unfair,Fair,Fair,Somewhat Fair
887,610,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Neutral,Somewhat Fair,Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair
888,802,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Fair,Very Unfair,Very Fair,,Fair,Very Fair,Very Fair,Fair
889,2448,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,true,,loan,fairness first,Somewhat Unfair,Fair,Somewhat Unfair,Very Unfair,Very Unfair,Unfair,Somewhat Unfair,Fair,Fair,Somewhat Unfair
890,453,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Neutral,,Somewhat Unfair,Very Unfair,Unfair,Somewhat Unfair,Very Unfair,Neutral,Neutral,Somewhat Unfair
891,498,40-49,High School,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Fair,Fair,Somewhat Unfair,Unfair,Neutral,Somewhat Unfair,Very Unfair,Very Fair,Very Fair,Unfair
892,3459,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Very Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair
893,493,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Fair,Fair,Somewhat Fair,Fair,Neutral,Fair
894,481,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Fair,Very Fair,Somewhat Fair
895,736,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,fairness first,Fair,Fair,Fair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair,Fair,Somewhat Fair
896,2052,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Very Unfair,Very Unfair,Fair,Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair
897,2832,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Unfair,Very Unfair,Very Fair,Very Fair,Unfair,Very Fair,Very Fair,Very Fair
898,1336,30-39,Graduate,Female,,<25000,false,true,false,false,false,,loan,properties first,Very Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Fair,Very Fair,Very Fair,Very Fair
899,482,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,properties first,Fair,Very Unfair,Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Unfair,Somewhat Fair,Very Unfair
900,522,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Unfair,Very Unfair,Unfair,Somewhat Fair,Neutral,Fair,Fair,Somewhat Unfair
901,677,30-39,High School,Female,,<25000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Very Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Very Fair,Somewhat Fair,Fair
902,2997,30-39,High School,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Somewhat Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Unfair,Very Fair,Fair,Fair
903,2430,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Fair,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Very Fair,Very Fair,Very Fair,Fair
904,791,50-59,Associate or Diploma,Female,,<25000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Fair,Very Unfair,Fair,Very Unfair,Very Unfair,Very Unfair,Fair,Very Fair,Fair
905,365,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Unfair,Very Unfair,Fair,Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair
906,352,30-39,High School,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Very Unfair
907,1536,60-69,High School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Somewhat Unfair,Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Very Fair,Fair,Somewhat Fair
908,2283,18-29,High School,Female,,50000-75000,false,false,false,true,true,,loan,fairness first,Somewhat Fair,Fair,Unfair,Very Unfair,Neutral,Somewhat Fair,Unfair,Fair,Somewhat Fair,Fair
909,414,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Fair,Fair,Unfair,Very Unfair,Unfair,Unfair,Unfair,Fair,Fair,Fair
910,888,40-49,Graduate,Male,,>100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Neutral,Very Unfair,Somewhat Fair,Somewhat Fair,Unfair,Very Fair,Fair,Very Fair
911,534,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Somewhat Unfair,Very Unfair,Unfair,Fair,Somewhat Fair,Fair,Very Fair,Fair
912,567,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Fair,Unfair,Very Unfair,Unfair,Unfair,Unfair,Fair,Very Fair,Fair
914,630,40-49,High School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Unfair,Very Unfair,Unfair,Somewhat Unfair,Very Unfair,Fair,Somewhat Fair,Somewhat Fair
915,557,50-59,High School,Female,,50000-75000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Very Fair,Very Fair,Fair
916,1510,30-39,Graduate,Female,,>100000,false,false,true,false,false,,loan,fairness first,Very Fair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Very Fair,Fair,Very Unfair
917,564,30-39,High School,Male,,<25000,false,false,false,true,false,,loan,properties first,Neutral,Fair,Very Unfair,Very Unfair,Neutral,Somewhat Unfair,Somewhat Unfair,Fair,Fair,Somewhat Fair
918,1248,30-39,Bachelor,Female,,50000-75000,false,true,false,false,false,,loan,properties first,Fair,Very Fair,Somewhat Unfair,Very Unfair,Unfair,Neutral,Somewhat Unfair,Fair,Somewhat Fair,Fair
919,606,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,properties first,Neutral,Fair,Somewhat Unfair,Very Unfair,Neutral,Somewhat Unfair,Fair,Very Fair,Fair,Very Fair
920,512,30-39,High School,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Fair,Fair,Fair,Unfair,Fair,Neutral,Neutral,Fair,Fair,Fair
921,508,50-59,High School,Female,,<25000,false,false,false,true,false,,loan,properties first,Very Fair,Fair,Unfair,Very Unfair,Unfair,Unfair,Very Unfair,Fair,Somewhat Fair,Neutral
922,1597,40-49,High School,Female,,>100000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Unfair,Very Unfair,Very Unfair,Somewhat Unfair,Very Unfair,Very Fair,Very Fair,Very Fair
923,872,40-49,High School,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Fair,Neutral,Neutral,Neutral,Neutral,Very Fair,Very Fair,Neutral
924,3118,40-49,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Somewhat Fair,Very Unfair,Very Unfair,Very Unfair,Somewhat Fair,Unfair,Fair,Fair,Neutral
925,579,30-39,High School,Male,,<25000,false,true,false,false,false,,loan,fairness first,Fair,Fair,Somewhat Unfair,Unfair,Somewhat Fair,Fair,Neutral,Fair,Somewhat Fair,Fair
926,648,40-49,High School,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Very Unfair,Very Fair,Fair,Somewhat Fair
2055,1706,30-39,High School,Male,,>100000,false,false,false,true,false,,loan,fairness first,Fair,Very Fair,Unfair,Very Unfair,Neutral,Somewhat Fair,Very Unfair,Very Fair,Very Fair,Somewhat Fair
2056,1188,18-29,Associate or Diploma,Female,,25000-50000,true,false,false,false,false,,loan,fairness first,Neutral,Fair,Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Unfair,Fair,Fair,Neutral
2057,1895,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Very Fair,Somewhat Fair,Very Fair,Fair,Very Fair,Fair,Neutral
2058,2202,30-39,Associate or Diploma,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Neutral,Very Fair,Very Fair,Very Fair
2059,643,18-29,Bachelor,Female,,75000-100000,false,true,false,false,false,,loan,fairness first,Somewhat Unfair,Neutral,Neutral,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral
2060,2532,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,fairness first,Fair,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Fair
2061,1913,18-29,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Fair,Fair,Somewhat Unfair,Very Unfair,Very Unfair,Somewhat Fair,Unfair,Somewhat Fair,Fair,Fair
2062,998,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,Somewhat Fair,Somewhat Fair,Very Fair,,Somewhat Fair,Fair,Fair,Fair,Fair,Somewhat Fair
2063,1349,30-39,Graduate,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Unfair,Very Unfair,Somewhat Fair,Somewhat Fair,Neutral,Very Fair,Fair,Fair
2064,1627,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,properties first,Very Fair,Very Fair,Somewhat Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Somewhat Fair,Fair
2065,1751,40-49,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,fairness first,Fair,Fair,Somewhat Unfair,Very Unfair,Neutral,Somewhat Unfair,Unfair,Very Fair,Fair,Somewhat Fair
2066,1838,18-29,Associate or Diploma,Male,,25000-50000,false,false,false,false,true,,loan,fairness first,Somewhat Fair,Very Fair,Somewhat Fair,Very Unfair,Fair,Very Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair
2067,574,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Fair,Very Fair,Fair,Unfair,Unfair,Fair,Fair,Very Fair,Fair,Neutral
2068,339,18-29,Graduate,Female,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
2069,334,18-29,Graduate,Male,,<25000,false,false,false,true,false,,loan,fairness first,Fair,Somewhat Fair,Unfair,Very Unfair,Very Unfair,Neutral,Unfair,Somewhat Fair,Neutral,Unfair
2070,417,30-39,Graduate,Male,,25000-50000,false,false,true,false,false,,loan,fairness first,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Somewhat Fair,Fair
2071,380,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,Neutral,Fair,Fair,Very Fair,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair
2072,738,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Very Fair,Very Unfair,Neutral,Neutral,Unfair,Very Fair,Very Fair,Somewhat Fair
2073,1505,50-59,High School,Female,,25000-50000,false,false,false,true,true,,loan,properties first,Very Fair,Very Fair,Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Very Fair,Very Fair,Very Fair
2074,616,18-29,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
2075,749,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Unfair,Very Unfair,Somewhat Fair,Neutral,Very Fair,Very Fair,Very Fair,Very Fair
2076,1763,18-29,Graduate,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Unfair,Neutral,Fair,Fair,Fair,Neutral,Fair,Somewhat Fair,Fair,Neutral
2077,2483,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,properties first,Fair,Unfair,Fair,Very Unfair,Very Fair,Neutral,Fair,Fair,Fair,Fair
2078,805,18-29,Bachelor,Female,,25000-50000,false,true,false,true,false,,loan,properties first,Unfair,Neutral,Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair
2079,1459,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Somewhat Unfair,Very Unfair,Somewhat Unfair,Somewhat Fair,Fair,Fair,Very Fair,Very Fair
2080,1310,18-29,Bachelor,Male,,25000-50000,false,false,false,false,true,,loan,properties first,,Somewhat Fair,Very Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Very Fair,Somewhat Fair,Fair,Fair
2081,1762,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Fair,Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Neutral
2082,1865,30-39,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Fair,Very Fair,Fair,Unfair,Fair,Somewhat Fair,Somewhat Unfair,Fair,Very Fair,Fair
2083,1016,30-39,Bachelor,Female,,75000-100000,false,false,true,false,false,,loan,properties first,Very Fair,Very Fair,Very Unfair,Very Unfair,Somewhat Fair,Fair,Very Unfair,Very Fair,Very Fair,Somewhat Fair
2084,769,18-29,Bachelor,Male,,75000-100000,false,true,false,false,false,,loan,properties first,Somewhat Fair,Fair,Somewhat Fair,Unfair,Neutral,Neutral,Somewhat Fair,Very Fair,Very Fair,Very Fair
2085,1754,18-29,Bachelor,Female,,<25000,false,false,false,true,false,,loan,fairness first,Very Fair,Fair,Somewhat Fair,Unfair,Unfair,Fair,Somewhat Unfair,Fair,Fair,Very Fair
2086,2897,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
2087,1394,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,loan,properties first,Somewhat Fair,Fair,Somewhat Fair,Very Unfair,Somewhat Unfair,Unfair,Neutral,Fair,Very Fair,Somewhat Fair
2088,2078,30-39,Graduate,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Very Fair,Very Fair,Unfair,Very Unfair,Fair,Fair,Neutral,Very Fair,Very Fair,Very Fair
2089,2523,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,loan,properties first,Somewhat Unfair,Very Fair,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Fair,Fair,Very Fair
2090,2186,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,loan,fairness first,Somewhat Unfair,Neutral,Somewhat Unfair,Neutral,Neutral,Neutral,Unfair,Neutral,Neutral,Fair
2091,2418,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,loan,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Somewhat Fair,Very Fair,Very Fair,Very Unfair,Very Fair
2092,1167,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,false,false,,loan,properties first,Fair,Very Fair,Somewhat Fair,Very Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Very Fair,Very Fair,Somewhat Unfair
2093,2271,30-39,Bachelor,Male,,>100000,false,false,false,true,false,,loan,fairness first,Fair,Very Fair,Neutral,Very Unfair,Neutral,Somewhat Fair,Somewhat Fair,Fair,Fair,Somewhat Fair
2094,502,30-39,Graduate,Female,,50000-75000,false,false,true,false,false,,loan,properties first,Somewhat Fair,Very Fair,Fair,,Somewhat Fair,Fair,Fair,Fair,Neutral,Very Fair
2095,839,50-59,High School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Neutral,Very Unfair,Unfair,Somewhat Unfair,Unfair,Very Fair,Very Fair,Somewhat Fair
2096,921,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,loan,properties first,Unfair,Very Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Fair,Somewhat Fair,Somewhat Fair
2097,505,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Fair,Neutral,Neutral,Somewhat Unfair,Somewhat Fair,Very Fair,Fair,Fair,Fair,Neutral
2098,1565,18-29,Graduate,Male,,25000-50000,false,true,false,false,false,,loan,fairness first,Fair,Unfair,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Very Fair,Fair
2099,1751,18-29,Less than high School,Female,,25000-50000,false,false,false,true,false,,loan,fairness first,Fair,Fair,Somewhat Unfair,Very Unfair,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Fair,Fair
2100,1909,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,loan,fairness first,Very Fair,Very Fair,Fair,Neutral,Fair,Somewhat Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair
2101,1306,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,loan,properties first,Neutral,Fair,Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Fair,Fair,Somewhat Fair
2102,716,40-49,Bachelor,Female,,<25000,false,false,false,true,false,,loan,properties first,Fair,Neutral,Fair,Neutral,Fair,Somewhat Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair
