Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Loan Amount Reliability,Loan Amount Relevance,Loan Amount Privacy,Loan Amount Volitionality,Loan Amount Causes Outcome,Loan Amount Causes Cycle,Loan Amount Causes Disparity,Loan Amount Caused by Group,Income Reliability,Income Relevance,Income Privacy,Income Volitionality,Income Causes Outcome,Income Causes Cycle,Income Causes Disparity,Income Caused by Group,Age Reliability,Age Relevance,Age Privacy,Age Volitionality,Age Causes Outcome,Age Causes Cycle,Age Causes Disparity,Age Caused by Group,Gender Reliability,Gender Relevance,Gender Privacy,Gender Volitionality,Gender Causes Outcome,Gender Causes Cycle,Gender Causes Disparity,Gender Caused by Group,Marital and Family Reliability,Marital and Family Relevance,Marital and Family Privacy,Marital and Family Volitionality,Marital and Family Causes Outcome,Marital and Family Causes Cycle,Marital and Family Causes Disparity,Marital and Family Caused by Group,Dependents Reliability,Dependents Relevance,Dependents Privacy,Dependents Volitionality,Dependents Causes Outcome,Dependents Causes Cycle,Dependents Causes Disparity,Dependents Caused by Group,Education Reliability,Education Relevance,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group,Employment Reliability,Employment Relevance,Employment Privacy,Employment Volitionality,Employment Causes Outcome,Employment Causes Cycle,Employment Causes Disparity,Employment Caused by Group,Credit Reliability,Credit Relevance,Credit Privacy,Credit Volitionality,Credit Causes Outcome,Credit Causes Cycle,Credit Causes Disparity,Credit Caused by Group,Property Reliability,Property Relevance,Property Privacy,Property Volitionality,Property Causes Outcome,Property Causes Cycle,Property Causes Disparity,Property Caused by Group
853,711,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,loan,fairness first,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Neutral
854,1053,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,loan,fairness first,,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Neutral,Neutral
855,773,50-59,Associate or Diploma,Female,,>100000,false,false,false,true,false,,loan,properties first,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
856,571,30-39,Bachelor,Female,,<25000,false,false,true,false,false,,loan,fairness first,Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Disagree,Agree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
857,366,40-49,Graduate,Female,,75000-100000,false,false,false,true,false,,loan,properties first,Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,,Strongly Disagree,Strongly Agree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Somewhat Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Disagree,Agree,Strongly Agree,Somewhat Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,,Disagree,,Disagree,Disagree,,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Disagree,Disagree,Disagree
858,341,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Agree,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree
859,353,40-49,Graduate,Female,,>100000,false,false,false,true,false,,loan,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Agree,Disagree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree
860,1130,30-39,Graduate,Male,,25000-50000,false,false,false,true,false,,loan,fairness first,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Neutral,Strongly Disagree,Somewhat Agree,Agree,Strongly Disagree,Somewhat Agree,Somewhat Agree,Strongly Disagree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Somewhat Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,Somewhat Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree
861,2414,40-49,Associate or Diploma,Male,,<25000,false,false,false,true,false,,loan,fairness first,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Disagree,Disagree,Neutral,Agree,Somewhat Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Disagree,,Somewhat Agree,Disagree,Disagree,Disagree
862,1086,50-59,Bachelor,Male,,50000-75000,false,false,false,true,false,,loan,properties first,Agree,Agree,Disagree,Agree,Somewhat Agree,Neutral,Disagree,Disagree,Somewhat Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Somewhat Agree,Agree,Neutral,Neutral,Strongly Agree,,Disagree,Disagree,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Agree,Agree,Disagree,Somewhat Agree,Disagree,Neutral,Disagree,Disagree
